X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
642;403;0.250815;0.2948245;0.6271002;0.7371349;18444.9;0.210624;False;23.08.2023 13:16:02:111;1692789362111;_mainView;
1002;614;0.391416;0.4486761;0.5798484;0.6270912;18343.9;0.2112523;False;23.08.2023 13:16:02:129;1692789362129;_mainView;
1268;747;0.4955639;0.5463228;0.731081;0.7141748;18315.4;0.2159785;False;23.08.2023 13:16:02:247;1692789362247;_mainView;
1471;828;0.5747524;0.6054008;0.7797626;0.6965485;18208.4;0.2060637;False;23.08.2023 13:16:02:265;1692789362265;_mainView;
1612;884;0.6299097;0.6457614;0.7574813;0.7351232;18112.0;0.2060081;False;23.08.2023 13:16:02:278;1692789362278;_mainView;
1719;922;0.671826;0.6735445;0.7899968;0.7375761;18052.1;0.213483;False;23.08.2023 13:16:02:347;1692789362347;_mainView;
1803;949;0.704582;0.6939371;0.8030908;0.7486911;17996.8;0.2210914;False;23.08.2023 13:16:02:363;1692789362363;_mainView;
1867;970;0.7296536;0.7088243;0.80309;0.7486905;17947.1;0.2210914;False;23.08.2023 13:16:02:378;1692789362378;_secondaryView;
1900;981;0.7424151;0.7167285;0.7463202;0.7217191;17856.3;0.2104049;False;23.08.2023 13:16:02:394;1692789362394;_secondaryView;
1915;986;0.7484182;0.7207259;0.7463204;0.721719;17774.5;0.210405;False;23.08.2023 13:16:02:413;1692789362413;_secondaryView;
1922;989;0.7508175;0.7225824;0.7463201;0.7217188;17700.9;0.2104051;False;23.08.2023 13:16:02:428;1692789362428;_secondaryView;
1869;952;0.7300909;0.696119;0.5495465;0.4704846;17743.4;0.2067491;False;23.08.2023 13:16:02:445;1692789362445;_secondaryView;
1795;903;0.7014939;0.6601347;0.5495461;0.4704847;17781.7;0.206749;False;23.08.2023 13:16:02:462;1692789362462;_mainView;
1642;835;0.6416482;0.6103467;0.2637115;0.3453135;17753.7;0.2222036;False;23.08.2023 13:16:02:478;1692789362478;_mainView;
1470;766;0.5745949;0.5599002;0.2637116;0.3453134;17728.5;0.2222039;False;23.08.2023 13:16:02:495;1692789362495;_mainView;
1281;726;0.5007789;0.5304954;0.1632631;0.4922171;17703.9;0.2394946;False;23.08.2023 13:16:02:511;1692789362511;_mainView;
1105;702;0.4319803;0.5134825;0.1632631;0.4922171;17681.8;0.2394945;False;23.08.2023 13:16:02:528;1692789362528;_mainView;
932;684;0.3643258;0.5003198;0.08471438;0.4606195;17669.7;0.2432168;False;23.08.2023 13:16:02:545;1692789362545;_mainView;
779;671;0.3044837;0.4902657;0.0847145;0.4606194;17658.8;0.2432169;False;23.08.2023 13:16:02:563;1692789362563;_mainView;
680;678;0.2657737;0.4954346;0.1887659;0.5788404;17607.2;0.2484302;False;23.08.2023 13:16:02:579;1692789362579;_mainView;
615;693;0.2405007;0.5067111;0.1887659;0.5788405;17560.8;0.2484303;False;23.08.2023 13:16:02:595;1692789362595;_mainView;
563;703;0.2199393;0.5141712;0.1526424;0.5300488;17537.5;0.2514034;False;23.08.2023 13:16:02:613;1692789362613;_mainView;
510;690;0.1992835;0.5044351;0.1121152;0.3938442;17472.7;0.2510916;False;23.08.2023 13:16:02:628;1692789362628;_mainView;
462;668;0.1808186;0.4882209;0.1121149;0.3938439;17414.4;0.2510914;False;23.08.2023 13:16:02:645;1692789362645;_mainView;
425;635;0.1663028;0.4645587;0.1213168;0.3349588;17377.0;0.2519758;False;23.08.2023 13:16:02:661;1692789362661;_mainView;
397;602;0.155085;0.4401927;0.121318;0.3349657;17343.3;0.2519769;False;23.08.2023 13:16:02:678;1692789362678;_mainView;
386;604;0.1510411;0.4416335;0.1631213;0.5522648;17334.2;0.256217;False;23.08.2023 13:16:02:746;1692789362746;_mainView;
370;611;0.144884;0.4466939;0.1104511;0.4826239;17286.9;0.2610632;False;23.08.2023 13:16:02:761;1692789362761;_mainView;
354;619;0.1384669;0.4527926;0.110451;0.4826236;17244.3;0.2610631;False;23.08.2023 13:16:02:778;1692789362778;_mainView;
336;624;0.1313103;0.4562227;0.09824529;0.459821;17187.0;0.2560438;False;23.08.2023 13:16:02:795;1692789362795;_mainView;
