UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AS21;-3;Waypoint;1;1,1;0,4158315;199,9224;196,3433;196,3433;597,6227;(-0.60, -0.44, 1.73);12,72025;False;False;1;0,186737;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,2;0,4016165;199,5209;195,7718;195,7718;597,2213;(-0.71, -0.44, 2.07);14,42179;False;False;1;0,1804645;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,3;0,5213923;198,9996;195,2004;195,2004;596,7003;(-0.85, -0.44, 2.50);15,87298;False;False;1;0,1733029;0,00;0,00;0,00;0;0;0;0;0;1,3;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,4;0,5767585;198,423;194,629;194,629;596,1238;(-1.01, -0.44, 2.98);17,55185;False;False;1;0,1654079;0,00;0,00;0,00;0;0;0;0;0;1,4;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,5;0,538752;197,8843;194,0576;194,0576;595,5854;(-1.16, -0.44, 3.43);19,2206;False;False;1;0,1584326;0,00;0,00;0,00;0;0;0;0;0;1,5;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,6;0,68019;197,2043;192,9148;192,9148;594,9055;(-1.35, -0.44, 3.99);20,63802;False;False;1;0,1496664;0,00;0,00;0,00;0;0;0;0;0;1,6;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,7;0,7345858;196,4698;192,3433;192,3433;594,1713;(-1.55, -0.44, 4.60);22,2816;False;False;1;0,1398602;0,00;0,00;0,00;0;0;0;0;0;1,7;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,8;0,6731312;195,7969;191,7719;191,7719;593,4985;(-1.74, -0.44, 5.16);23,91648;False;False;1;0,1311677;0,00;0,00;0,00;0;0;0;0;0;1,8;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;1,9;0,8359215;194,9611;190,629;190,629;592,6631;(-1.97, -0.44, 5.85);25,3028;False;False;1;0,1201609;0,00;0,00;0,00;0;0;0;0;0;1,9;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;2,0;0,8890823;194,0722;190,0575;190,0575;591,7746;(-2.22, -0.44, 6.59);26,90948;False;False;1;0,1084663;0,00;0,00;0,00;0;0;0;0;0;2,0;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;2,1;0,8048633;193,2675;188,9147;188,9147;590,9702;(-2.44, -0.44, 7.26);28,507;False;False;1;0,09797431;0,00;0,00;0,00;0;0;0;0;0;2,1;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;2,2;0,9883224;192,2794;187,7718;187,7718;589,9824;(-2.71, -0.44, 8.08);29,86818;False;False;1;0,08554836;0,00;0,00;0,00;0;0;0;0;0;2,2;0,0;0,0;False;False;-1;Left;
AS21;-3;Waypoint;1;2,3;1,040248;191,2394;186,6289;186,6289;588,9427;(-3.00, -0.44, 8.94);31,44104;False;False;1;0,07180697;0,00;0,00;0,00;0;0;0;0;0;2,3;0,0;0,0;False;False;-1;Left;
