X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
121;260;0.05178785;0.2121332;0.1294826;0.5303861;32430.7;0.1722349;False;25.08.2023 22:32:30:50;1692995550050;_requestList;
234;430;0.1002655;0.3500954;0.2125323;0.5813125;32460.6;0.1889364;False;25.08.2023 22:32:30:73;1692995550073;_requestList;
306;518;0.1311089;0.4222399;0.1844142;0.4878472;32487.5;0.1880246;False;25.08.2023 22:32:30:89;1692995550089;_mainView;
348;530;0.1489855;0.4319428;0.1725505;0.2730914;32464.3;0.1868293;False;25.08.2023 22:32:30:109;1692995550109;_mainView;
370;511;0.1581228;0.416401;0.1625102;0.2677821;32438.8;0.1835114;False;25.08.2023 22:32:30:128;1692995550128;_mainView;
378;484;0.1615067;0.3943287;0.1534293;0.2813197;32415.8;0.1834251;False;25.08.2023 22:32:30:145;1692995550145;_mainView;
379;457;0.1620741;0.3721989;0.1534293;0.2813197;32395.0;0.1834252;False;25.08.2023 22:32:30:161;1692995550161;_mainView;
356;431;0.1523756;0.3510231;0.07144004;0.2670301;32426.4;0.1819167;False;25.08.2023 22:32:30:181;1692995550181;_mainView;
312;410;0.1336012;0.3336969;0.01891739;0.2768482;32454.5;0.1818708;False;25.08.2023 22:32:30:198;1692995550198;_mainView;
297;393;0.1271617;0.3199861;0.1498969;0.2771636;32504.3;0.1787376;False;25.08.2023 22:32:30:217;1692995550217;_mainView;
296;380;0.1268055;0.3093461;0.1498855;0.2771374;32549.2;0.1786757;False;25.08.2023 22:32:30:234;1692995550234;_mainView;
302;370;0.1291466;0.301204;0.1498836;0.2771367;32589.5;0.1786742;False;25.08.2023 22:32:30:252;1692995550252;_mainView;
296;360;0.126689;0.29349;0.09694129;0.2628309;32580.4;0.1802838;False;25.08.2023 22:32:30:270;1692995550270;_mainView;
286;354;0.1223562;0.2888313;0.09656173;0.281639;32572.3;0.1802122;False;25.08.2023 22:32:30:287;1692995550287;_mainView;
275;350;0.1178401;0.2854436;0.09812576;0.2763618;32437.7;0.1851141;False;25.08.2023 22:32:30:306;1692995550306;_requestList;
266;347;0.1137158;0.2829797;0.09797698;0.2763714;32316.5;0.1850496;False;25.08.2023 22:32:30:325;1692995550325;_requestList;
256;346;0.1093913;0.2815469;0.09041053;0.2797047;32374.8;0.1821877;False;25.08.2023 22:32:30:347;1692995550347;_requestList;
246;344;0.1053747;0.2805359;0.08974677;0.2779981;32427.3;0.1821245;False;25.08.2023 22:32:30:365;1692995550365;_requestList;
238;343;0.1019251;0.2798194;0.08972961;0.2780019;32474.5;0.1821056;False;25.08.2023 22:32:30:381;1692995550381;_requestList;
232;361;0.09918546;0.2940556;0.09055167;0.4144629;32472.1;0.186817;False;25.08.2023 22:32:30:402;1692995550402;_requestList;
