userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;MouseTravelDistanceInCm;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
CK21;-2;InteractivePathPlanning;0,0;2;0;1234;567;False;False;None;0;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,1;2;0;405;596;False;False;None;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,2;2;0;405;596;False;False;None;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,3;2;0;405;596;False;False;None;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,4;2;0;405;596;False;False;None;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,5;2;0;405;596;False;False;RequestList;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,6;2;0;405;596;False;False;MainView;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,7;2;0;405;596;False;False;Instructions;22,1912;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,8;2;0;399;598;False;False;Instructions;22,36791;0;0;0;0;
CK21;-2;InteractivePathPlanning;0,9;2;0;356;649;False;False;Instructions;24,16673;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,0;2;0;238;891;False;False;Instructions;29,89312;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,1;2;0;119;1266;False;False;MainView;41,96038;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,2;2;0;85;1296;False;False;MainView;43,39686;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,3;2;0;123;1222;False;False;MainView;44,94895;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,4;2;0;117;1160;False;False;Instructions;47,3294;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,5;2;0;124;1155;False;False;None;47,67484;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,6;2;0;123;1156;False;False;None;47,71268;0;0;0;0;
CK21;-2;InteractivePathPlanning;1,7;2;0;168;1155;False;False;None;48,95881;1;0;0;0;
CK21;-2;InteractivePathPlanning;1,8;2;0;504;1071;False;False;Instructions;58,22807;1;0;0;0;
CK21;-2;InteractivePathPlanning;1,9;2;0;732;1005;False;False;Instructions;63,47234;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,0;2;0;661;1009;False;True;MainView;65,13004;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,1;2;0;661;1009;False;True;MainView;65,13004;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,2;2;0;340;1087;False;True;MainView;73,94338;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,3;2;0;222;1140;False;True;Instructions;79,81556;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,4;2;0;215;1148;False;True;Instructions;80,19466;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,5;2;0;208;1148;False;True;Instructions;80,32841;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,6;2;0;190;1147;False;True;MainView;80,86567;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,7;2;0;187;1147;False;True;MainView;80,94592;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,8;2;0;183;1147;False;True;SecondaryView;81,05292;1;0;0;0;
CK21;-2;InteractivePathPlanning;2,9;2;0;182;1147;False;True;SecondaryView;81,07967;1;0;0;0;
