X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
427;295;0.1669313;0.2160827;0.41737;0.5402607;453.7;0.259436;False;29.08.2023 18:17:26:756;1693325846756;_mainView;
756;483;0.2956656;0.352818;0.5537007;0.5740222;455.8;0.2059919;False;29.08.2023 18:17:26:773;1693325846773;_mainView;
970;575;0.3792215;0.4202077;0.5298634;0.4625783;457.8;0.221688;False;29.08.2023 18:17:26:789;1693325846789;_mainView;
1107;620;0.4326583;0.4529794;0.5298699;0.4625747;459.6;0.221711;False;29.08.2023 18:17:26:806;1693325846806;_mainView;
1159;614;0.4529302;0.4489303;0.4141828;0.3037753;460.9;0.2155045;False;29.08.2023 18:17:26:822;1693325846822;_mainView;
1170;589;0.4572061;0.4306386;0.414183;0.3037753;462.2;0.2155042;False;29.08.2023 18:17:26:839;1693325846839;_mainView;
1179;573;0.4607405;0.4189974;0.4723309;0.3972118;462.7;0.2231524;False;29.08.2023 18:17:26:856;1693325846856;_mainView;
1169;558;0.4568095;0.4076579;0.410894;0.36185;461.7;0.1928292;False;29.08.2023 18:17:26:874;1693325846874;_mainView;
1152;544;0.4500871;0.3977202;0.4108597;0.3618841;460.8;0.1927822;False;29.08.2023 18:17:26:892;1693325846892;_mainView;
1138;540;0.444713;0.3948727;0.4276509;0.4115147;459.8;0.19796;False;29.08.2023 18:17:26:908;1693325846908;_mainView;
1127;541;0.440506;0.3954356;0.4275809;0.4115719;459.0;0.1978911;False;29.08.2023 18:17:26:924;1693325846924;_mainView;
1134;534;0.4432775;0.3903063;0.4831409;0.3457513;459.8;0.2095539;False;29.08.2023 18:17:26:940;1693325846940;_mainView;
1148;524;0.4488015;0.3832428;0.4831409;0.3457513;460.6;0.2095539;False;29.08.2023 18:17:26:956;1693325846956;_mainView;
1130;518;0.4417094;0.3785315;0.3608209;0.3682699;463.0;0.2113779;False;29.08.2023 18:17:26:975;1693325846975;_mainView;
1100;513;0.4298612;0.3753594;0.3608209;0.3682699;465.1;0.2113776;False;29.08.2023 18:17:26:992;1693325846992;_mainView;
1060;520;0.4143644;0.3801503;0.3344756;0.4325426;466.6;0.2232391;False;29.08.2023 18:17:27:8;1693325847008;_mainView;
1021;531;0.398945;0.3879102;0.3344755;0.4325426;467.9;0.2232389;False;29.08.2023 18:17:27:23;1693325847023;_mainView;
986;542;0.3852258;0.3961315;0.3344755;0.4325426;469.1;0.2232391;False;29.08.2023 18:17:27:40;1693325847040;_mainView;
