userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
CT19;9;Waypoint;0,0;RequestStarted;1;
CT19;9;Waypoint;0,0;RequestStarted;2;
CT19;9;Waypoint;0,0;RequestStarted;3;
CT19;9;Waypoint;1,9;RequestOpenedMain;1;
CT19;9;Waypoint;10,4;RequestRemovedMain;1;
CT19;9;Waypoint;10,4;RequestOpenedSecondary;1;
CT19;9;Waypoint;10,4;RequestOpenedMain;2;
CT19;9;Waypoint;15,7;RequestRemovedMain;2;
CT19;9;Waypoint;15,7;RequestOpenedMain;3;
CT19;9;Waypoint;21,4;RequestRemovedSecondary;1;
CT19;9;Waypoint;21,4;RequestRemovedMain;3;
CT19;9;Waypoint;21,4;RequestOpenedSecondary;3;
CT19;9;Waypoint;21,4;RequestOpenedMain;1;
CT19;9;Waypoint;21,4;RequestRemovedSecondary;3;
CT19;9;Waypoint;21,4;RequestOpenedSecondary;3;
CT19;9;Waypoint;27,5;RequestRemovedSecondary;3;
CT19;9;Waypoint;27,5;RequestRemovedMain;1;
CT19;9;Waypoint;27,5;RequestOpenedSecondary;1;
CT19;9;Waypoint;27,5;RequestOpenedMain;3;
CT19;9;Waypoint;27,5;RequestRemovedSecondary;1;
CT19;9;Waypoint;27,5;RequestOpenedSecondary;1;
CT19;9;Waypoint;34,0;RequestRemovedMain;3;
CT19;9;Waypoint;34,0;RequestOpenedMain;2;
CT19;9;Waypoint;38,6;RequestRemovedSecondary;1;
CT19;9;Waypoint;38,6;RequestRemovedMain;2;
CT19;9;Waypoint;38,6;RequestOpenedSecondary;2;
CT19;9;Waypoint;38,6;RequestOpenedMain;1;
CT19;9;Waypoint;38,6;RequestRemovedSecondary;2;
CT19;9;Waypoint;38,6;RequestOpenedSecondary;2;
CT19;9;Waypoint;41,5;RequestRemovedMain;1;
CT19;9;Waypoint;41,5;RequestOpenedMain;3;
CT19;9;Waypoint;43,6;RequestFinished;1;
CT19;9;Waypoint;47,9;RequestRemovedSecondary;2;
CT19;9;Waypoint;47,9;RequestRemovedMain;3;
CT19;9;Waypoint;47,9;RequestOpenedSecondary;3;
CT19;9;Waypoint;47,9;RequestOpenedMain;2;
CT19;9;Waypoint;47,9;RequestRemovedSecondary;3;
CT19;9;Waypoint;47,9;RequestOpenedSecondary;3;
CT19;9;Waypoint;59,3;RequestRemovedSecondary;3;
CT19;9;Waypoint;59,3;RequestRemovedMain;2;
CT19;9;Waypoint;59,3;RequestOpenedSecondary;2;
CT19;9;Waypoint;59,3;RequestOpenedMain;3;
CT19;9;Waypoint;59,3;RequestRemovedSecondary;2;
CT19;9;Waypoint;59,3;RequestOpenedSecondary;2;
CT19;9;Waypoint;64,4;RequestRemovedSecondary;2;
CT19;9;Waypoint;64,4;RequestOpenedSecondary;2;
CT19;9;Waypoint;66,9;RequestRemovedSecondary;2;
CT19;9;Waypoint;66,9;RequestFinished;2;
CT19;9;Waypoint;76,9;RequestRemovedMain;3;
CT19;9;Waypoint;76,9;RequestFinished;3;
