X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
108;150;0.04249104;0.1097355;0.1062382;0.2743662;43412.7;0.2196741;False;28.08.2023 17:12:27:617;1693235547617;_requestList;
246;273;0.0962918;0.1996413;0.2413147;0.3891834;43228.5;0.1884145;False;28.08.2023 17:12:27:635;1693235547635;_requestList;
356;344;0.1393093;0.2518519;0.2468627;0.3232232;43258.0;0.1849787;False;28.08.2023 17:12:27:649;1693235547649;_mainView;
437;386;0.1707294;0.2822718;0.2468247;0.3232218;43284.6;0.1849246;False;28.08.2023 17:12:27:665;1693235547665;_mainView;
483;406;0.1889854;0.2965751;0.2128728;0.2948693;43609.1;0.2127702;False;28.08.2023 17:12:27:682;1693235547682;_mainView;
510;414;0.1995402;0.3025156;0.2128727;0.2948698;43901.1;0.2127701;False;28.08.2023 17:12:27:700;1693235547700;_mainView;
524;415;0.2050134;0.3033438;0.2076431;0.286825;44283.2;0.1982277;False;28.08.2023 17:12:27:715;1693235547715;_mainView;
531;413;0.207685;0.3018918;0.2076429;0.286825;44627.2;0.1982278;False;28.08.2023 17:12:27:733;1693235547733;_mainView;
385;270;0.1506945;0.1977024;-0.3261097;-0.648595;44701.2;0.19895;False;28.08.2023 17:12:27:751;1693235547751;_mainView;
189;82;0.07402845;0.06029806;-0.3261113;-0.6485993;44767.8;0.1989501;False;28.08.2023 17:12:27:768;1693235547768;_requestList;
-24;-104;-0.009571749;-0.07641239;-0.3881159;-0.6468335;44923.0;0.2052075;False;28.08.2023 17:12:27:784;1693235547784;Offscreen;
-225;-274;-0.08802817;-0.200567;-0.3964997;-0.670848;45062.6;0.2052144;False;28.08.2023 17:12:27:800;1693235547800;Offscreen;
-408;-431;-0.1597526;-0.3149258;-0.4336763;-0.7554718;45049.3;0.2110926;False;28.08.2023 17:12:27:817;1693235547817;Offscreen;
-565;-564;-0.2207684;-0.4126209;-0.433677;-0.7554718;45037.3;0.2110927;False;28.08.2023 17:12:27:834;1693235547834;Offscreen;
-701;-689;-0.2741014;-0.5035372;-0.4670215;-0.8580018;45015.5;0.2177703;False;28.08.2023 17:12:27:851;1693235547851;Offscreen;
-896;-906;-0.3501942;-0.662501;-0.7620921;-1.606053;45248.0;0.2051785;False;28.08.2023 17:12:27:867;1693235547867;Offscreen;
-1095;-1141;-0.4280282;-0.8340789;-0.7620921;-1.606053;45457.3;0.2051788;False;28.08.2023 17:12:27:885;1693235547885;Offscreen;
-1253;-1331;-0.4897077;-0.9727167;-0.6833911;-1.421718;45594.9;0.2042856;False;28.08.2023 17:12:27:900;1693235547900;Offscreen;
-1376;-1481;-0.5376477;-1.081948;-0.6833918;-1.42172;45718.8;0.2042855;False;28.08.2023 17:12:27:917;1693235547917;Offscreen;
-1470;-1596;-0.5743905;-1.166498;-0.6833918;-1.421719;45830.2;0.2042855;False;28.08.2023 17:12:27:933;1693235547933;Offscreen;
-1471;-1586;-0.574858;-1.158899;-0.4298227;-0.7535578;45776.8;0.2089541;False;28.08.2023 17:12:27:950;1693235547950;Offscreen;
-1432;-1522;-0.5593897;-1.111769;-0.429823;-0.7535578;45728.7;0.2089543;False;28.08.2023 17:12:27:967;1693235547967;Offscreen;
-1387;-1456;-0.5418031;-1.063938;-0.459327;-0.86013;45566.4;0.2163514;False;28.08.2023 17:12:27:983;1693235547983;Offscreen;
-1344;-1397;-0.52519;-1.02097;-0.459334;-0.8601485;45420.3;0.2163504;False;28.08.2023 17:12:28:0;1693235548000;Offscreen;
-1179;-1220;-0.4607138;-0.891304;0.00414453;0.004828794;45492.7;0.1943852;False;28.08.2023 17:12:28:17;1693235548017;Offscreen;
-978;-1009;-0.3822455;-0.737684;0.004144291;0.004828794;45558.0;0.1943851;False;28.08.2023 17:12:28:34;1693235548034;Offscreen;
-809;-812;-0.316384;-0.5936224;-0.09075036;-0.02707304;45605.6;0.1976374;False;28.08.2023 17:12:28:51;1693235548051;Offscreen;
-673;-642;-0.2631604;-0.4693143;-0.09075084;-0.02707352;45648.4;0.1976374;False;28.08.2023 17:12:28:66;1693235548066;Offscreen;
