UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AZ04;-3;Waypoint;1;0,0;0,01827567;202,0183;196,9147;196,9147;599,7175;(0.00, -0.44, 0.00);0;False;False;1;0,2369704;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,1;0,01381226;202,0045;196,9147;196,9147;599,7037;(0.00, -0.44, 0.01);0,3741392;False;False;1;0,2367987;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,2;0,03997071;201,9645;196,9147;196,9147;599,6636;(-0.01, -0.44, 0.04);1,629189;False;False;1;0,2363264;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,3;0,07740313;201,8871;196,9147;196,9147;599,5864;(-0.04, -0.44, 0.11);2,596947;False;False;1;0,2355585;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,4;0,1132699;201,7738;196,9147;196,9147;599,4731;(-0.07, -0.44, 0.20);3,382295;False;False;1;0,2343951;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;1482,4;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,5;0,1272112;201,6467;196,9147;196,9147;599,3461;(-0.10, -0.44, 0.31);4,700712;False;False;1;0,2322136;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;1482,5;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,6;0,185385;201,4614;196,9147;196,9147;599,1608;(-0.16, -0.44, 0.46);5,911257;False;False;1;0,2281794;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;1482,6;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,7;0,2283121;201,2332;196,9147;196,9147;598,9327;(-0.22, -0.44, 0.65);7,030699;False;False;1;0,2232222;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;1482,8;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,8;0,2319947;201,0013;196,9147;196,9147;598,701;(-0.29, -0.44, 0.84);8,41949;False;False;1;0,216435;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;1483,0;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;0,9;0,31548;200,6861;196,9147;196,9147;598,3859;(-0.38, -0.44, 1.10);9,903732;False;False;1;0,2056525;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;1483,2;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;1,0;0,3676781;200,3186;196,9147;196,9147;598,0187;(-0.49, -0.44, 1.41);11,24994;False;False;1;0,1958811;0,00;0,00;0,00;0;0;0;0;0;1,0;0,0;0,0;0,0;1483,5;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;1,1;0,3585382;199,9602;196,3433;196,3433;597,6603;(-0.59, -0.44, 1.70);12,91239;False;False;1;0,1897756;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;0,0;1483,9;20;0,00;0,00;False;False;-1;Left;
AZ04;-3;Waypoint;1;1,2;0,4705038;199,4898;195,7718;195,7718;597,1901;(-0.72, -0.44, 2.09);14,61293;False;False;1;0,1831315;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;0,0;1484,3;20;0,00;0,00;False;False;-1;Left;
