userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;MouseTravelDistanceInCm;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
MR15;9;Waypoint;0,0;3;0;1505;647;False;False;None;0;0;0;0;0;
MR15;9;Waypoint;0,1;3;0;1491;573;False;False;None;2,104671;0;0;0;0;
MR15;9;Waypoint;0,2;3;0;1460;646;False;False;None;4,251901;0;0;0;0;
MR15;9;Waypoint;0,3;3;0;1418;706;False;False;None;6,275337;0;0;0;0;
MR15;9;Waypoint;0,4;3;0;1411;706;False;False;None;6,462603;0;0;0;0;
MR15;9;Waypoint;0,5;3;0;1362;633;False;False;MainView;8,82362;0;0;0;0;
MR15;9;Waypoint;0,6;3;0;1194;538;False;False;MainView;14,33513;0;0;0;0;
MR15;9;Waypoint;0,7;3;0;987;660;False;False;MainView;19,27588;0;0;0;0;
MR15;9;Waypoint;0,8;3;0;494;1056;False;False;MainView;38,15;0;0;0;0;
MR15;9;Waypoint;0,9;3;0;343;1147;False;False;MainView;42,89004;0;0;0;0;
MR15;9;Waypoint;1,0;3;0;196;1227;False;False;MainView;46,95238;0;0;0;0;
MR15;9;Waypoint;1,1;3;0;144;1311;False;False;MainView;50,11644;0;0;0;0;
MR15;9;Waypoint;1,2;3;0;112;1350;False;False;MainView;51,80463;0;0;0;0;
MR15;9;Waypoint;1,3;3;0;273;1270;False;False;MainView;54,922;1;0;0;0;
MR15;9;Waypoint;1,4;3;0;735;1140;False;False;MainView;69,59349;1;0;0;0;
MR15;9;Waypoint;1,5;3;0;836;1130;False;False;MainView;72,31633;1;0;0;0;
MR15;9;Waypoint;1,6;3;0;836;1130;False;True;MainView;72,31633;1;0;0;0;
MR15;9;Waypoint;1,7;3;0;955;1028;False;True;MainView;74,77948;1;0;0;0;
MR15;9;Waypoint;1,8;3;0;1480;954;False;True;MainView;90,80264;1;0;0;0;
MR15;9;Waypoint;1,9;3;0;1764;1182;False;True;MainView;99,75403;1;0;0;0;
MR15;9;Waypoint;2,0;3;0;1848;1364;False;True;SecondaryView;105,7481;1;0;0;0;
MR15;9;Waypoint;2,1;3;0;1862;1386;False;True;SecondaryView;107,1019;1;0;0;0;
MR15;9;Waypoint;2,2;3;0;1904;1175;False;True;SecondaryView;111,953;1;0;0;0;
MR15;9;Waypoint;2,3;3;0;1925;1168;False;True;SecondaryView;113,5314;1;0;0;0;
MR15;9;Waypoint;2,4;3;0;1956;1185;False;True;SecondaryView;114,7922;1;0;0;0;
MR15;9;Waypoint;2,5;3;0;1974;1182;False;True;SecondaryView;115,247;1;0;0;0;
MR15;9;Waypoint;2,6;3;0;1967;1182;False;True;SecondaryView;115,354;2;0;0;0;
MR15;9;Waypoint;2,7;3;0;1950;1172;False;True;SecondaryView;116,1539;2;0;0;0;
MR15;9;Waypoint;2,8;3;0;2012;1000;False;True;SecondaryView;119,4258;2;0;0;0;
MR15;9;Waypoint;2,9;3;0;2198;822;False;True;SecondaryView;127,7104;2;0;0;0;
MR15;9;Waypoint;3,0;3;0;2209;912;False;True;SecondaryView;130,8516;2;0;0;0;
MR15;9;Waypoint;3,1;3;0;2177;975;False;True;SecondaryView;132,7495;2;0;0;0;
MR15;9;Waypoint;3,2;3;0;2170;958;False;True;SecondaryView;133,3915;2;0;0;0;
MR15;9;Waypoint;3,3;3;0;2177;948;False;True;SecondaryView;133,7928;2;0;0;0;
MR15;9;Waypoint;3,4;3;0;2177;948;False;True;SecondaryView;133,7928;2;0;0;0;
MR15;9;Waypoint;3,5;3;0;2180;930;False;True;SecondaryView;134,4681;2;0;0;0;
MR15;9;Waypoint;3,6;3;0;2180;930;False;True;SecondaryView;134,4681;2;0;0;0;
MR15;9;Waypoint;3,7;3;0;2187;947;False;True;SecondaryView;135,0005;2;0;0;0;
MR15;9;Waypoint;3,8;3;0;2187;944;False;True;SecondaryView;135,2412;2;0;0;0;
MR15;9;Waypoint;3,9;3;0;2187;944;False;True;SecondaryView;135,2412;2;0;0;0;
MR15;9;Waypoint;4,0;3;0;2187;944;False;True;SecondaryView;135,2412;2;0;0;0;
MR15;9;Waypoint;4,1;3;0;2174;892;False;True;SecondaryView;136,6944;2;0;0;0;
MR15;9;Waypoint;4,2;3;0;2170;912;False;True;SecondaryView;137,25;2;0;0;0;
MR15;9;Waypoint;4,3;3;0;2184;930;False;True;SecondaryView;137,9136;2;0;0;0;
MR15;9;Waypoint;4,4;3;0;2226;1003;False;True;SecondaryView;140,1885;2;0;0;0;
MR15;9;Waypoint;4,5;3;0;2226;1004;False;True;SecondaryView;140,3757;3;0;0;0;
MR15;9;Waypoint;4,6;3;0;2191;801;False;True;SecondaryView;145,8936;3;0;0;0;
MR15;9;Waypoint;4,7;3;0;2181;706;False;True;SecondaryView;148,4527;3;0;0;0;
MR15;9;Waypoint;4,8;3;0;2181;720;False;True;SecondaryView;148,8272;3;0;0;0;
MR15;9;Waypoint;4,9;3;0;2198;811;False;True;SecondaryView;151,3329;3;0;0;0;
MR15;9;Waypoint;5,0;3;0;2205;888;False;True;SecondaryView;153,4232;3;0;0;0;
MR15;9;Waypoint;5,1;3;0;2202;836;False;True;SecondaryView;154,9775;4;0;0;0;
MR15;9;Waypoint;5,2;3;0;2198;661;False;True;SecondaryView;159,6646;4;0;0;0;
MR15;9;Waypoint;5,3;3;0;2195;612;False;True;SecondaryView;160,992;4;0;0;0;
MR15;9;Waypoint;5,4;3;0;2195;639;False;True;SecondaryView;161,7143;4;0;0;0;
MR15;9;Waypoint;5,5;3;0;2198;706;False;True;SecondaryView;163,5124;4;0;0;0;
MR15;9;Waypoint;5,6;3;0;2198;730;False;True;SecondaryView;164,1545;4;0;0;0;
MR15;9;Waypoint;5,7;3;0;2198;741;False;True;SecondaryView;164,4488;4;0;0;0;
MR15;9;Waypoint;5,8;3;0;2195;772;False;True;SecondaryView;165,3113;4;0;0;0;
MR15;9;Waypoint;5,9;3;0;2188;797;False;True;SecondaryView;166,041;4;0;0;0;
MR15;9;Waypoint;6,0;3;0;2191;825;False;True;SecondaryView;166,8168;4;0;0;0;
MR15;9;Waypoint;6,1;3;0;2198;860;False;True;SecondaryView;167,8307;4;0;0;0;
MR15;9;Waypoint;6,2;3;0;2205;895;False;True;SecondaryView;168,8446;4;0;0;0;
MR15;9;Waypoint;6,3;3;0;2205;937;False;True;SecondaryView;169,9682;4;0;0;0;
MR15;9;Waypoint;6,4;3;0;2212;954;False;True;SecondaryView;170,5476;4;0;0;0;
MR15;9;Waypoint;6,5;3;0;2215;968;False;True;SecondaryView;170,9489;4;0;0;0;
MR15;9;Waypoint;6,6;3;0;2215;975;False;True;SecondaryView;171,1362;4;0;0;0;
MR15;9;Waypoint;6,7;3;0;2212;1035;False;True;SecondaryView;172,7471;4;0;0;0;
MR15;9;Waypoint;6,8;3;0;2209;1038;False;True;SecondaryView;172,8605;4;0;0;0;
MR15;9;Waypoint;6,9;3;0;2209;1018;False;True;SecondaryView;173,3956;5;0;0;0;
MR15;9;Waypoint;7,0;3;0;2209;951;False;True;SecondaryView;175,188;5;0;0;0;
MR15;9;Waypoint;7,1;3;0;2209;930;False;True;SecondaryView;175,7498;5;0;0;0;
MR15;9;Waypoint;7,2;3;0;2209;899;False;True;SecondaryView;176,5791;5;0;0;0;
MR15;9;Waypoint;7,3;3;0;2181;692;False;True;SecondaryView;182,1721;5;0;0;0;
MR15;9;Waypoint;7,4;3;0;2177;587;False;True;SecondaryView;185,0128;5;0;0;0;
MR15;9;Waypoint;7,5;3;0;2177;570;False;True;SecondaryView;185,4676;5;0;0;0;
MR15;9;Waypoint;7,6;3;0;2184;611;False;True;SecondaryView;186,6086;5;0;0;0;
MR15;9;Waypoint;7,7;3;0;2201;674;False;True;SecondaryView;188,3891;5;0;0;0;
MR15;9;Waypoint;7,8;3;0;2205;695;False;True;SecondaryView;189,0044;5;0;0;0;
MR15;9;Waypoint;7,9;3;0;2219;727;False;True;SecondaryView;189,9988;5;0;0;1;
MR15;9;Waypoint;8,0;3;0;2219;713;False;True;SecondaryView;190,3734;5;0;0;1;
MR15;9;Waypoint;8,1;3;0;2202;559;False;True;SecondaryView;194,5309;5;0;0;1;
MR15;9;Waypoint;8,2;3;0;2195;493;False;True;MainView;196,1408;5;0;0;1;
MR15;9;Waypoint;8,3;3;0;2205;482;False;True;MainView;196,8428;5;0;0;1;
MR15;9;Waypoint;8,4;3;0;2233;506;False;True;MainView;197,9118;5;0;0;1;
MR15;9;Waypoint;8,5;3;0;2233;520;False;True;MainView;198,2864;5;0;0;1;
MR15;9;Waypoint;8,6;3;0;2233;520;False;True;SecondaryView;198,2864;5;0;0;1;
MR15;9;Waypoint;8,7;3;0;2233;524;False;True;SecondaryView;198,3934;5;0;0;1;
MR15;9;Waypoint;8,8;3;0;2233;531;False;True;SecondaryView;198,4736;5;0;0;1;
MR15;9;Waypoint;8,9;3;0;2226;534;False;True;SecondaryView;198,7947;5;0;0;1;
MR15;9;Waypoint;9,0;3;0;2223;534;False;True;SecondaryView;198,8749;5;0;0;1;
MR15;9;Waypoint;9,1;3;0;2223;534;False;True;MainView;198,8749;5;0;0;1;
MR15;9;Waypoint;9,2;3;0;2223;534;False;True;SecondaryView;198,8749;5;0;0;1;
MR15;9;Waypoint;9,3;3;0;2223;534;False;True;SecondaryView;198,8749;5;0;0;1;
MR15;9;Waypoint;9,4;3;0;2223;534;False;True;SecondaryView;198,8749;5;0;0;1;
MR15;9;Waypoint;9,5;3;0;2223;538;False;True;SecondaryView;198,9819;5;0;0;1;
MR15;9;Waypoint;9,6;3;0;2223;538;False;True;SecondaryView;198,9819;5;1;0;1;
MR15;9;Waypoint;9,7;3;0;2223;538;False;True;MainView;198,9819;5;1;0;1;
MR15;9;Waypoint;9,8;3;0;2226;545;False;True;MainView;199,1692;5;1;0;1;
MR15;9;Waypoint;9,9;3;0;2233;632;False;True;MainView;201,0252;5;1;0;1;
MR15;9;Waypoint;10,0;3;0;2230;758;False;True;MainView;205,0412;5;1;0;1;
MR15;9;Waypoint;10,1;3;0;2223;790;False;True;SecondaryView;206,672;6;1;0;1;
MR15;9;Waypoint;10,2;3;0;2236;605;False;True;MainView;211,6417;6;1;0;1;
MR15;9;Waypoint;10,3;3;0;2223;496;False;True;SecondaryView;214,2159;6;1;0;1;
MR15;9;Waypoint;10,4;3;0;2216;468;False;True;SecondaryView;215,4733;6;1;0;1;
MR15;9;Waypoint;10,5;3;0;2219;566;False;True;SecondaryView;218,1007;6;1;0;1;
MR15;9;Waypoint;10,6;3;0;2226;643;False;True;SecondaryView;219,9954;6;1;0;1;
MR15;9;Waypoint;10,7;3;0;2226;671;False;True;SecondaryView;220,858;6;1;0;1;
MR15;9;Waypoint;10,8;3;0;2229;688;False;True;MainView;221,4733;6;1;0;1;
MR15;9;Waypoint;10,9;3;0;2229;699;False;True;MainView;221,7675;6;1;0;1;
MR15;9;Waypoint;11,0;3;0;2223;706;False;True;MainView;222,0618;6;1;0;1;
MR15;9;Waypoint;11,1;3;0;2216;709;False;True;MainView;222,3294;6;1;0;1;
MR15;9;Waypoint;11,2;3;0;2216;709;False;True;MainView;222,3294;6;1;0;1;
MR15;9;Waypoint;11,3;3;0;2219;716;False;True;MainView;222,5969;6;1;0;1;
MR15;9;Waypoint;11,4;3;0;2219;720;False;True;SecondaryView;222,7039;6;1;0;1;
MR15;9;Waypoint;11,5;3;0;2219;720;False;True;SecondaryView;222,7039;6;1;0;1;
MR15;9;Waypoint;11,6;3;0;2219;720;False;True;SecondaryView;222,7039;6;2;0;1;
MR15;9;Waypoint;11,7;3;0;2219;720;False;True;SecondaryView;222,7039;6;2;0;1;
MR15;9;Waypoint;11,8;3;0;2222;730;False;True;SecondaryView;223,0517;6;2;0;1;
MR15;9;Waypoint;11,9;3;0;2202;877;False;True;SecondaryView;227,0868;6;2;0;1;
MR15;9;Waypoint;12,0;3;0;2198;937;False;True;SecondaryView;228,7108;7;2;0;1;
MR15;9;Waypoint;12,1;3;0;2205;801;False;True;SecondaryView;232,3595;7;2;0;1;
MR15;9;Waypoint;12,2;3;0;2219;605;False;True;SecondaryView;237,6223;7;2;0;1;
MR15;9;Waypoint;12,3;3;0;2212;563;False;True;SecondaryView;238,8694;7;2;0;1;
MR15;9;Waypoint;12,4;3;0;2236;608;False;True;SecondaryView;240,2549;7;2;0;1;
MR15;9;Waypoint;12,5;3;0;2240;611;False;True;SecondaryView;240,4422;7;2;0;1;
MR15;9;Waypoint;12,6;3;0;2237;611;False;True;SecondaryView;240,5224;7;2;0;1;
MR15;9;Waypoint;12,7;3;0;2226;618;False;True;SecondaryView;240,9413;7;2;0;1;
MR15;9;Waypoint;12,8;3;0;2226;608;False;True;SecondaryView;241,2088;7;2;0;1;
MR15;9;Waypoint;12,9;3;0;2226;605;False;True;SecondaryView;241,2891;7;2;0;1;
MR15;9;Waypoint;13,0;3;0;2226;605;False;True;SecondaryView;241,2891;7;2;0;1;
MR15;9;Waypoint;13,1;3;0;2223;605;False;True;SecondaryView;241,3694;7;2;0;1;
MR15;9;Waypoint;13,2;3;0;2219;594;False;True;SecondaryView;241,7707;7;2;0;1;
MR15;9;Waypoint;13,3;3;0;2219;591;False;True;SecondaryView;241,8509;7;2;0;1;
MR15;9;Waypoint;13,4;3;0;2222;591;False;True;SecondaryView;241,9312;7;2;0;1;
MR15;9;Waypoint;13,5;3;0;2229;570;False;True;SecondaryView;242,5797;7;2;0;1;
MR15;9;Waypoint;13,6;3;0;2223;493;False;True;MainView;244,3891;7;2;0;1;
MR15;9;Waypoint;13,7;3;0;2219;461;False;True;MainView;245,5412;7;2;0;1;
