userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
SD28;10;Trajectory;0,0;RequestStarted;1;
SD28;10;Trajectory;0,0;RequestStarted;2;
SD28;10;Trajectory;0,0;RequestStarted;3;
SD28;10;Trajectory;0,0;RequestStarted;4;
SD28;10;Trajectory;1,7;RequestOpenedMain;1;
SD28;10;Trajectory;3,4;RequestRemovedMain;1;
SD28;10;Trajectory;3,4;RequestOpenedSecondary;1;
SD28;10;Trajectory;3,4;RequestOpenedMain;2;
SD28;10;Trajectory;11,1;RequestRemovedSecondary;1;
SD28;10;Trajectory;11,1;RequestRemovedMain;2;
SD28;10;Trajectory;11,1;RequestOpenedSecondary;2;
SD28;10;Trajectory;11,1;RequestOpenedMain;1;
SD28;10;Trajectory;11,1;RequestRemovedSecondary;2;
SD28;10;Trajectory;11,1;RequestOpenedSecondary;2;
SD28;10;Trajectory;18,9;RequestRemovedMain;1;
SD28;10;Trajectory;18,9;RequestOpenedMain;3;
SD28;10;Trajectory;25,0;RequestRemovedSecondary;2;
SD28;10;Trajectory;25,0;RequestRemovedMain;3;
SD28;10;Trajectory;25,0;RequestOpenedSecondary;3;
SD28;10;Trajectory;25,0;RequestOpenedMain;2;
SD28;10;Trajectory;25,0;RequestRemovedSecondary;3;
SD28;10;Trajectory;25,0;RequestOpenedSecondary;3;
SD28;10;Trajectory;29,8;RequestRemovedMain;2;
SD28;10;Trajectory;29,8;RequestOpenedMain;4;
SD28;10;Trajectory;37,4;RequestRemovedMain;4;
SD28;10;Trajectory;37,4;RequestOpenedMain;1;
SD28;10;Trajectory;42,1;RequestRemovedMain;1;
SD28;10;Trajectory;42,1;RequestOpenedMain;4;
SD28;10;Trajectory;43,9;RequestRemovedMain;4;
SD28;10;Trajectory;43,9;RequestOpenedMain;2;
SD28;10;Trajectory;47,8;RequestRemovedSecondary;3;
SD28;10;Trajectory;47,8;RequestRemovedMain;2;
SD28;10;Trajectory;47,8;RequestOpenedSecondary;2;
SD28;10;Trajectory;47,8;RequestOpenedMain;3;
SD28;10;Trajectory;47,8;RequestRemovedSecondary;2;
SD28;10;Trajectory;47,8;RequestOpenedSecondary;2;
SD28;10;Trajectory;53,4;RequestRemovedMain;3;
SD28;10;Trajectory;53,4;RequestOpenedMain;1;
SD28;10;Trajectory;58,6;RequestRemovedMain;1;
SD28;10;Trajectory;58,6;RequestOpenedMain;4;
SD28;10;Trajectory;64,1;RequestRemovedSecondary;2;
SD28;10;Trajectory;64,1;RequestRemovedMain;4;
SD28;10;Trajectory;64,1;RequestOpenedSecondary;4;
SD28;10;Trajectory;64,1;RequestOpenedMain;2;
SD28;10;Trajectory;64,1;RequestRemovedSecondary;4;
SD28;10;Trajectory;64,1;RequestOpenedSecondary;4;
SD28;10;Trajectory;68,9;RequestRemovedMain;2;
SD28;10;Trajectory;68,9;RequestOpenedMain;3;
SD28;10;Trajectory;76,0;RequestRemovedMain;3;
SD28;10;Trajectory;76,0;RequestOpenedMain;1;
SD28;10;Trajectory;80,5;RequestRemovedMain;1;
SD28;10;Trajectory;80,5;RequestOpenedMain;2;
SD28;10;Trajectory;84,3;RequestRemovedSecondary;4;
SD28;10;Trajectory;84,3;RequestRemovedMain;2;
SD28;10;Trajectory;84,3;RequestOpenedSecondary;2;
SD28;10;Trajectory;84,3;RequestOpenedMain;4;
SD28;10;Trajectory;84,3;RequestRemovedSecondary;2;
SD28;10;Trajectory;84,3;RequestOpenedSecondary;2;
SD28;10;Trajectory;89,4;RequestRemovedMain;4;
SD28;10;Trajectory;89,4;RequestOpenedMain;3;
SD28;10;Trajectory;93,1;RequestRemovedMain;3;
SD28;10;Trajectory;93,1;RequestOpenedMain;1;
SD28;10;Trajectory;97,5;RequestRemovedSecondary;2;
SD28;10;Trajectory;97,5;RequestRemovedMain;1;
SD28;10;Trajectory;97,5;RequestOpenedSecondary;1;
SD28;10;Trajectory;97,5;RequestOpenedMain;2;
SD28;10;Trajectory;97,5;RequestRemovedSecondary;1;
SD28;10;Trajectory;97,5;RequestOpenedSecondary;1;
SD28;10;Trajectory;102,2;RequestRemovedMain;2;
SD28;10;Trajectory;102,2;RequestOpenedMain;3;
SD28;10;Trajectory;109,1;RequestRemovedSecondary;1;
SD28;10;Trajectory;109,1;RequestRemovedMain;3;
SD28;10;Trajectory;109,1;RequestOpenedSecondary;3;
SD28;10;Trajectory;109,1;RequestOpenedMain;1;
SD28;10;Trajectory;109,1;RequestRemovedSecondary;3;
SD28;10;Trajectory;109,1;RequestOpenedSecondary;3;
SD28;10;Trajectory;113,7;RequestRemovedMain;1;
SD28;10;Trajectory;113,7;RequestOpenedMain;4;
SD28;10;Trajectory;118,9;RequestRemovedSecondary;3;
SD28;10;Trajectory;118,9;RequestRemovedMain;4;
SD28;10;Trajectory;118,9;RequestOpenedSecondary;4;
SD28;10;Trajectory;118,9;RequestOpenedMain;3;
SD28;10;Trajectory;118,9;RequestRemovedSecondary;4;
SD28;10;Trajectory;118,9;RequestOpenedSecondary;4;
