X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
554;315;0.2167214;0.2308056;0.5418576;0.5770716;19897.6;0.2059868;False;29.08.2023 14:27:54:548;1693312074548;_mainView;
765;523;0.2991826;0.3822659;0.3147747;0.638945;19761.0;0.2021118;False;29.08.2023 14:27:54:563;1693312074563;_mainView;
787;659;0.3077888;0.4819224;0.1569139;0.6665931;19671.3;0.2027543;False;29.08.2023 14:27:54:578;1693312074578;_mainView;
746;747;0.2915802;0.5463077;0.1569144;0.6665931;19590.5;0.2027542;False;29.08.2023 14:27:54:594;1693312074594;_mainView;
687;804;0.2687441;0.5878251;0.1575882;0.6670291;19484.8;0.2023414;False;29.08.2023 14:27:54:611;1693312074611;_mainView;
630;841;0.2462717;0.614666;0.1575887;0.6670291;19389.7;0.2023415;False;29.08.2023 14:27:54:628;1693312074628;_mainView;
600;863;0.2346725;0.6305075;0.229504;0.6525612;19416.0;0.1879387;False;29.08.2023 14:27:54:645;1693312074645;_mainView;
586;875;0.2290549;0.6398249;0.2295034;0.6525612;19439.6;0.1879386;False;29.08.2023 14:27:54:661;1693312074661;_mainView;
589;882;0.2304275;0.6447914;0.2641629;0.6480737;19378.1;0.1800139;False;29.08.2023 14:27:54:678;1693312074678;_mainView;
600;886;0.234689;0.6473189;0.2641633;0.6480736;19322.7;0.1800141;False;29.08.2023 14:27:54:694;1693312074694;_mainView;
597;890;0.233433;0.6502269;0.2058781;0.6639566;19292.9;0.1789791;False;29.08.2023 14:27:54:711;1693312074711;_mainView;
588;893;0.2299019;0.6529852;0.2058782;0.6639566;19266.1;0.1789792;False;29.08.2023 14:27:54:727;1693312074727;_mainView;
590;894;0.2307411;0.6536701;0.2519592;0.648151;19219.2;0.1717641;False;29.08.2023 14:27:54:745;1693312074745;_mainView;
597;894;0.2334022;0.6533734;0.251959;0.6481512;19177.0;0.1717642;False;29.08.2023 14:27:54:761;1693312074761;_mainView;
572;899;0.2235894;0.6566908;0.1318313;0.6852695;19148.2;0.1882588;False;29.08.2023 14:27:54:777;1693312074777;_mainView;
536;905;0.2093759;0.6612322;0.1318314;0.6852697;19122.4;0.1882586;False;29.08.2023 14:27:54:794;1693312074794;_mainView;
508;895;0.1986025;0.6543776;0.1672795;0.5794023;19059.0;0.1904531;False;29.08.2023 14:27:54:810;1693312074810;_mainView;
487;880;0.1904999;0.6432737;0.1672791;0.5794023;19002.0;0.1904529;False;29.08.2023 14:27:54:827;1693312074827;_mainView;
446;856;0.1744017;0.6259017;0.07436477;0.5275134;18913.8;0.2023966;False;29.08.2023 14:27:54:843;1693312074843;_mainView;
400;831;0.1565419;0.6076623;0.07436501;0.5275133;18834.4;0.2023966;False;29.08.2023 14:27:54:861;1693312074861;_mainView;
357;809;0.1398407;0.591014;0.07436501;0.5275133;18763.0;0.2023966;False;29.08.2023 14:27:54:877;1693312074877;_mainView;
353;787;0.1382519;0.5755727;0.192817;0.5155867;18689.3;0.2074728;False;29.08.2023 14:27:54:893;1693312074893;_mainView;
367;769;0.1434527;0.5623286;0.1928173;0.5155865;18623.0;0.207473;False;29.08.2023 14:27:54:912;1693312074912;_mainView;
356;763;0.1392879;0.5579573;0.0838375;0.5755463;18607.9;0.2130347;False;29.08.2023 14:27:54:927;1693312074927;_mainView;
318;725;0.1245356;0.5296966;0.01964848;0.3141505;18552.6;0.2153337;False;29.08.2023 14:27:54:945;1693312074945;_mainView;
275;675;0.1074235;0.4933055;0.0259627;0.3074583;18502.7;0.2153399;False;29.08.2023 14:27:54:961;1693312074961;_requestList;
225;612;0.08812901;0.4470848;-0.001781236;0.213052;18494.3;0.2254477;False;29.08.2023 14:27:54:977;1693312074977;_requestList;
179;549;0.06996392;0.4015542;-0.001781177;0.2130518;18486.6;0.225448;False;29.08.2023 14:27:54:994;1693312074994;_requestList;
116;489;0.04548791;0.3578545;-0.0829236;0.1816666;18588.8;0.2269113;False;29.08.2023 14:27:55:11;1693312075011;_requestList;
53;437;0.02089325;0.3196788;-0.0829236;0.1816666;18680.7;0.2269113;False;29.08.2023 14:27:55:27;1693312075027;_requestList;
25;436;0.009965762;0.319171;0.01943736;0.4696811;18721.1;0.229602;False;29.08.2023 14:27:55:44;1693312075044;_requestList;
15;458;0.00620406;0.3352132;0.01943724;0.4696812;18757.5;0.229602;False;29.08.2023 14:27:55:61;1693312075061;_requestList;
24;449;0.009736422;0.3286442;0.05413591;0.209416;18742.7;0.2322021;False;29.08.2023 14:27:55:77;1693312075077;_requestList;
41;428;0.01608117;0.3128835;0.05413573;0.2094162;18729.3;0.2322019;False;29.08.2023 14:27:55:95;1693312075095;_requestList;
56;413;0.02212764;0.3021947;0.04632359;0.2778372;18684.6;0.2372756;False;29.08.2023 14:27:55:114;1693312075114;_requestList;
70;403;0.02739013;0.2948818;0.04632382;0.2778374;18644.3;0.2372756;False;29.08.2023 14:27:55:128;1693312075128;_requestList;
88;402;0.03456149;0.293703;0.0724278;0.3136077;18643.4;0.2312128;False;29.08.2023 14:27:55:144;1693312075144;_requestList;
106;404;0.04179383;0.2953378;0.0724281;0.3136075;18642.6;0.2312127;False;29.08.2023 14:27:55:161;1693312075161;_requestList;
120;414;0.04689278;0.3025315;0.05967103;0.3552837;18664.5;0.2385429;False;29.08.2023 14:27:55:177;1693312075177;_requestList;
129;426;0.05050655;0.3113822;0.05967163;0.3552834;18684.2;0.2385428;False;29.08.2023 14:27:55:195;1693312075195;_requestList;
121;428;0.04730584;0.3130083;0.006243278;0.290564;18670.1;0.2426858;False;29.08.2023 14:27:55:211;1693312075211;_requestList;
106;426;0.04146692;0.311295;0.006243337;0.2905639;18657.5;0.2426856;False;29.08.2023 14:27:55:228;1693312075228;_requestList;
92;428;0.03606898;0.3130052;0.01517622;0.3340638;18624.6;0.24099;False;29.08.2023 14:27:55:245;1693312075245;_requestList;
80;432;0.03144747;0.3160297;0.01517622;0.3340638;18595.0;0.2409899;False;29.08.2023 14:27:55:261;1693312075261;_requestList;
70;437;0.02766535;0.319303;0.01517611;0.334064;18568.3;0.2409901;False;29.08.2023 14:27:55:277;1693312075277;_requestList;
58;441;0.02289472;0.3221498;-0.001155209;0.3323823;18563.2;0.236833;False;29.08.2023 14:27:55:295;1693312075295;_requestList;
46;444;0.01820673;0.3245022;-0.001155209;0.3323823;18558.6;0.236833;False;29.08.2023 14:27:55:311;1693312075311;_requestList;
40;445;0.0158207;0.3251688;0.01512389;0.3211385;18682.4;0.2406747;False;29.08.2023 14:27:55:328;1693312075328;_requestList;
43;448;0.01702189;0.3272701;0.03660547;0.3419127;18686.4;0.2334756;False;29.08.2023 14:27:55:344;1693312075344;_requestList;
50;451;0.01966414;0.3297726;0.03660541;0.3419127;18690.1;0.2334754;False;29.08.2023 14:27:55:361;1693312075361;_requestList;
80;457;0.03132164;0.3344201;0.1168342;0.3626388;18705.5;0.2252861;False;29.08.2023 14:27:55:378;1693312075378;_requestList;
116;464;0.04566725;0.3395046;0.1168344;0.3626387;18719.4;0.2252858;False;29.08.2023 14:27:55:395;1693312075395;_requestList;
125;462;0.04891142;0.3379431;0.01755505;0.3044507;18742.1;0.2281953;False;29.08.2023 14:27:55:411;1693312075411;_requestList;
120;456;0.04694362;0.3336401;0.01755523;0.3044505;18762.5;0.2281953;False;29.08.2023 14:27:55:429;1693312075429;_requestList;
104;443;0.04082395;0.3239859;-0.001713108;0.2617389;18794.1;0.2286245;False;29.08.2023 14:27:55:444;1693312075444;_requestList;
85;428;0.03354743;0.3130317;-0.001713227;0.261739;18822.5;0.2286244;False;29.08.2023 14:27:55:461;1693312075461;_requestList;
96;430;0.03776993;0.3144808;0.102109;0.3708317;18841.4;0.2116543;False;29.08.2023 14:27:55:478;1693312075478;_requestList;
119;439;0.04657165;0.3212048;0.1021091;0.3708316;18858.5;0.2116545;False;29.08.2023 14:27:55:495;1693312075495;_requestList;
224;478;0.08756356;0.3494444;0.3902394;0.5552828;18875.4;0.1972942;False;29.08.2023 14:27:55:511;1693312075511;_requestList;
353;525;0.1382221;0.384054;0.3902397;0.5552829;18890.5;0.1972944;False;29.08.2023 14:27:55:528;1693312075528;_mainView;
476;583;0.1860944;0.4262149;0.3759418;0.6339568;18804.5;0.1487747;False;29.08.2023 14:27:55:544;1693312075544;_mainView;
582;639;0.2275733;0.4671266;0.3759416;0.6339567;18727.1;0.1487749;False;29.08.2023 14:27:55:562;1693312075562;_mainView;
677;687;0.2647025;0.5021008;0.4030759;0.6249872;18659.7;0.1578939;False;29.08.2023 14:27:55:578;1693312075578;_mainView;
757;726;0.2959146;0.5306957;0.4030762;0.6249872;18599.0;0.1578942;False;29.08.2023 14:27:55:594;1693312075594;_mainView;
846;751;0.3306698;0.5489958;0.4910541;0.5841671;18543.1;0.1585326;False;29.08.2023 14:27:55:610;1693312075610;_mainView;
929;767;0.3632209;0.5608102;0.4910544;0.5841671;18492.7;0.1585328;False;29.08.2023 14:27:55:628;1693312075628;_mainView;
