X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
504;213;0.1968837;0.1562102;0.4922586;0.3905645;11809.3;0.1573719;False;29.08.2023 12:07:04:71;1693303624071;_mainView;
753;342;0.2943261;0.2500417;0.3934793;0.3910283;11885.5;0.1724183;False;29.08.2023 12:07:04:85;1693303624085;_mainView;
858;419;0.3353741;0.3067794;0.3271479;0.3936442;11905.3;0.1700018;False;29.08.2023 12:07:04:101;1693303624101;_mainView;
898;466;0.350895;0.3410514;0.3271487;0.3936442;11923.1;0.1700019;False;29.08.2023 12:07:04:117;1693303624117;_mainView;
899;494;0.351489;0.3609299;0.3012421;0.3867317;11956.5;0.1608607;False;29.08.2023 12:07:04:135;1693303624135;_mainView;
885;509;0.3460131;0.372399;0.3012428;0.3867317;11986.5;0.1608607;False;29.08.2023 12:07:04:154;1693303624154;_mainView;
843;517;0.3296697;0.3776866;0.2203905;0.3752716;12003.4;0.1678865;False;29.08.2023 12:07:04:169;1693303624169;_mainView;
795;519;0.310562;0.3797238;0.220389;0.3752716;12018.5;0.1678862;False;29.08.2023 12:07:04:185;1693303624185;_mainView;
713;506;0.278898;0.36965;0.09649997;0.2790977;12273.1;0.1711866;False;29.08.2023 12:07:04:201;1693303624201;_mainView;
627;486;0.2452581;0.3554177;0.0965;0.2790979;12502.1;0.1711866;False;29.08.2023 12:07:04:218;1693303624218;_mainView;
541;453;0.2116095;0.3310127;0.07048612;0.1875909;12626.8;0.1744837;False;29.08.2023 12:07:04:235;1693303624235;_mainView;
464;417;0.1816122;0.3048128;0.07048612;0.1875909;12739.0;0.1744837;False;29.08.2023 12:07:04:251;1693303624251;_mainView;
426;405;0.166505;0.2963932;0.1633523;0.3330254;12800.3;0.1713686;False;29.08.2023 12:07:04:268;1693303624268;_mainView;
408;406;0.1595495;0.2966667;0.1633524;0.3330254;12855.4;0.1713686;False;29.08.2023 12:07:04:284;1693303624284;_mainView;
405;405;0.1583626;0.2965356;0.1767476;0.294346;13024.6;0.1629482;False;29.08.2023 12:07:04:301;1693303624301;_mainView;
409;405;0.1598299;0.2962416;0.1767476;0.294346;13176.9;0.1629482;False;29.08.2023 12:07:04:317;1693303624317;_mainView;
415;405;0.1623007;0.2959081;0.1767482;0.2943467;13313.9;0.1629482;False;29.08.2023 12:07:04:335;1693303624335;_mainView;
407;386;0.1593556;0.2822226;0.1250352;0.1706194;13405.4;0.1700908;False;29.08.2023 12:07:04:351;1693303624351;_mainView;
395;361;0.1543571;0.2641695;0.1250357;0.1706203;13487.7;0.1700905;False;29.08.2023 12:07:04:368;1693303624368;_mainView;
442;408;0.1729655;0.2980579;0.3468113;0.6509238;13586.2;0.172932;False;29.08.2023 12:07:04:384;1693303624384;_mainView;
526;477;0.205796;0.3485049;0.4013675;0.6275601;13657.4;0.1700396;False;29.08.2023 12:07:04:401;1693303624401;_mainView;
617;548;0.2413067;0.4007513;0.4013672;0.6275601;13721.5;0.1700397;False;29.08.2023 12:07:04:419;1693303624419;_mainView;
679;602;0.2653156;0.4403972;0.3195816;0.5559103;13777.0;0.1802915;False;29.08.2023 12:07:04:434;1693303624434;_mainView;
721;643;0.2816933;0.4702411;0.3195813;0.5559103;13827.0;0.1802914;False;29.08.2023 12:07:04:454;1693303624454;_mainView;
732;658;0.2861976;0.4811619;0.2570076;0.4503634;13904.6;0.1608583;False;29.08.2023 12:07:04:468;1693303624468;_mainView;
729;660;0.2850156;0.4826158;0.2570066;0.450362;13974.6;0.1608578;False;29.08.2023 12:07:04:486;1693303624486;_mainView;
702;673;0.2744875;0.4921947;0.1923788;0.5653664;14000.8;0.1679218;False;29.08.2023 12:07:04:501;1693303624501;_mainView;
668;690;0.2610042;0.5042964;0.1923783;0.5653656;14024.4;0.1679217;False;29.08.2023 12:07:04:517;1693303624517;_mainView;
644;719;0.2517164;0.5258555;0.2296944;0.6547624;13933.1;0.1711528;False;29.08.2023 12:07:04:535;1693303624535;_mainView;
627;751;0.2452694;0.5492265;0.2296942;0.6547624;13850.9;0.1711528;False;29.08.2023 12:07:04:551;1693303624551;_mainView;
627;761;0.2450251;0.5562865;0.2691338;0.5198532;13854.9;0.1881159;False;29.08.2023 12:07:04:567;1693303624567;_mainView;
633;760;0.2475233;0.555441;0.2691331;0.5198521;13858.5;0.1881158;False;29.08.2023 12:07:04:584;1693303624584;_mainView;
653;768;0.2554373;0.5616588;0.3106354;0.6164061;13747.0;0.1715696;False;29.08.2023 12:07:04:600;1693303624600;_mainView;
