userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
MJ28;-1;Trajectory;0,0;2;0;1316;638;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,1;2;0;1355;642;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,2;2;0;1355;642;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,3;2;0;1355;642;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,4;2;0;1355;642;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,5;2;0;1355;642;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,6;2;0;1358;656;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,7;2;0;1362;636;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,8;2;0;1359;622;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;0,9;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,0;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,1;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,2;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,3;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,4;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,5;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,6;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,7;2;0;1383;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,8;2;0;1386;611;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;1,9;2;0;1348;621;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;2,0;2;0;862;806;False;False;None;0;0;0;0;
MJ28;-1;Trajectory;2,1;2;0;722;862;False;False;None;0;0;0;0;
