UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
SA19;12;Waypoint;4;1,2;0;199,2712;194,1665;194,1665;603,746;(0.00, -0.46, 0.00);0;False;False;1;0,4946832;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,3;0,02308441;199,2643;194,1665;194,1665;603,7391;(0.00, -0.44, 0.00);0,4009503;False;False;1;0,4896322;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;4669,0;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,4;0,03447346;199,23;194,1665;194,1665;603,7045;(-0.02, -0.44, 0.03);1,286699;False;False;1;0,4877285;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;4669,0;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,5;0,06736783;199,1626;194,1665;194,1665;603,6374;(-0.03, -0.44, 0.09);2,341722;False;False;1;0,4867444;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;4669,0;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,6;0,08646898;199,0762;194,1665;194,1665;603,5509;(-0.06, -0.44, 0.16);3,264361;False;False;1;0,4855816;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;4669,1;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,7;0,1357923;198,9404;194,1665;194,1665;603,4153;(-0.10, -0.44, 0.27);4,414243;False;False;1;0,483205;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;4669,2;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,8;0,1774372;198,763;194,1665;194,1665;603,2379;(-0.15, -0.44, 0.42);5,669459;False;False;1;0,4804871;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;4669,3;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;1,9;0,1867989;198,5763;194,1665;194,1665;603,0512;(-0.20, -0.44, 0.57);6,82885;False;False;1;0,4760841;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;4669,5;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;2,0;0,2617673;198,3147;194,1665;194,1665;602,7899;(-0.27, -0.44, 0.79);8,279582;False;False;1;0,4690982;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;4669,6;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;2,1;0,3132422;198,0017;194,1665;194,1665;602,4775;(-0.37, -0.44, 1.05);9,833581;False;False;1;0,4586821;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;4669,9;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;2,2;0,3661551;197,6359;194,1665;194,1665;602,1122;(-0.47, -0.44, 1.35);10,99055;False;False;1;0,4443516;0,00;0,00;0,00;0;0;0;0;0;1,0;0,0;0,0;0,0;4670,2;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;2,3;0,4227282;197,2137;193,5951;193,5951;601,6903;(-0.60, -0.44, 1.70);12,65894;False;False;1;0,4247741;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;0,0;4670,6;20;0,00;0,00;False;False;4;Right;
SA19;12;Waypoint;4;2,4;0,4082429;196,8062;193,0238;193,0238;601,2838;(-0.73, -0.44, 2.03);14,69111;False;False;1;0,402696;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;0,0;4670,9;20;0,00;0,00;False;False;4;Right;
