X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
60;226;0.02360739;0.1654538;0.05902438;0.4136758;29833.8;0.2232642;False;24.08.2023 18:37:22:496;1692895042496;_requestList;
171;322;0.06715156;0.2353493;0.1992293;0.2734379;29895.2;0.2056604;False;24.08.2023 18:37:22:511;1692895042511;_requestList;
234;397;0.0916645;0.2903642;0.1219677;0.4252933;29789.9;0.1997739;False;24.08.2023 18:37:22:525;1692895042525;_requestList;
270;452;0.1055285;0.3302117;0.1219675;0.4252935;29695.0;0.1997741;False;24.08.2023 18:37:22:542;1692895042542;_requestList;
318;477;0.124308;0.3486866;0.2138362;0.3445284;29638.1;0.2102931;False;24.08.2023 18:37:22:559;1692895042559;_mainView;
364;487;0.1425737;0.3561367;0.2138361;0.3445283;29586.8;0.2102932;False;24.08.2023 18:37:22:576;1692895042576;_mainView;
409;488;0.1601551;0.3566537;0.2295125;0.3317684;29617.7;0.2223488;False;24.08.2023 18:37:22:592;1692895042592;_mainView;
449;484;0.1754208;0.354148;0.2295123;0.3317683;29645.5;0.2223488;False;24.08.2023 18:37:22:609;1692895042609;_mainView;
467;465;0.1825603;0.3397862;0.1797792;0.2323687;29833.9;0.1986507;False;24.08.2023 18:37:22:626;1692895042626;_mainView;
474;440;0.1853798;0.3218488;0.1797789;0.2323687;30003.4;0.1986507;False;24.08.2023 18:37:22:643;1692895042643;_mainView;
492;428;0.1923178;0.3131387;0.2380451;0.3138911;29995.1;0.2070731;False;24.08.2023 18:37:22:659;1692895042659;_mainView;
512;423;0.2003022;0.3094076;0.2380459;0.3138908;29987.7;0.207073;False;24.08.2023 18:37:22:676;1692895042676;_mainView;
526;418;0.2055753;0.3060094;0.2167406;0.2930879;30100.1;0.217103;False;24.08.2023 18:37:22:694;1692895042694;_mainView;
535;414;0.2090911;0.3031247;0.2167408;0.2930879;30201.4;0.2171032;False;24.08.2023 18:37:22:710;1692895042710;_mainView;
524;426;0.2048417;0.3114741;0.155531;0.3920619;30364.3;0.2003903;False;24.08.2023 18:37:22:726;1692895042726;_mainView;
505;443;0.1976518;0.3238397;0.1555313;0.3920621;30511.0;0.2003899;False;24.08.2023 18:37:22:742;1692895042742;_mainView;
490;469;0.1915173;0.3425906;0.1700211;0.4472442;30890.9;0.2082102;False;24.08.2023 18:37:22:759;1692895042759;_mainView;
439;504;0.1715313;0.3682689;0.03143184;0.5042261;31124.7;0.2192757;False;24.08.2023 18:37:22:775;1692895042775;_mainView;
377;539;0.1476399;0.3942054;0.03143387;0.5042242;31335.1;0.2192715;False;24.08.2023 18:37:22:792;1692895042792;_mainView;
