X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
456;330;0.1784818;0.241778;0.4462491;0.6045055;501.5;0.2610281;False;29.08.2023 18:03:27:588;1693325007588;_mainView;
786;528;0.3070437;0.3861329;0.5486808;0.6010475;498.6;0.2696915;False;29.08.2023 18:03:27:603;1693325007603;_mainView;
938;618;0.3666527;0.4515444;0.3858241;0.4646995;498.7;0.27023;False;29.08.2023 18:03:27:618;1693325007618;_mainView;
1006;656;0.3932521;0.4797045;0.3858238;0.4646997;498.8;0.2702295;False;29.08.2023 18:03:27:635;1693325007635;_mainView;
1052;697;0.4111167;0.5094566;0.4490866;0.6294903;497.5;0.247925;False;29.08.2023 18:03:27:652;1693325007652;_mainView;
1083;733;0.4231097;0.5359079;0.4490868;0.6294901;496.3;0.2479248;False;29.08.2023 18:03:27:668;1693325007668;_mainView;
1098;747;0.4292112;0.5463834;0.4312596;0.527074;495.9;0.2604147;False;29.08.2023 18:03:27:685;1693325007685;_mainView;
1106;751;0.4320925;0.5488256;0.4312596;0.527074;495.5;0.2604147;False;29.08.2023 18:03:27:702;1693325007702;_mainView;
1106;742;0.4324129;0.5422214;0.4234868;0.4784233;495.2;0.2632531;False;29.08.2023 18:03:27:719;1693325007719;_mainView;
1104;728;0.4315841;0.5324098;0.4234866;0.4784233;494.9;0.2632532;False;29.08.2023 18:03:27:736;1693325007736;_mainView;
1111;725;0.4340419;0.5299672;0.4576234;0.5494923;494.8;0.260928;False;29.08.2023 18:03:27:755;1693325007755;_mainView;
1120;726;0.4376691;0.5310106;0.4576234;0.5494923;494.8;0.2609283;False;29.08.2023 18:03:27:769;1693325007769;_mainView;
1147;728;0.4480599;0.5322121;0.5190749;0.5378982;492.5;0.2518035;False;29.08.2023 18:03:27:786;1693325007786;_mainView;
1178;730;0.4602862;0.5333529;0.5190753;0.5378978;490.4;0.2518037;False;29.08.2023 18:03:27:801;1693325007801;_mainView;
1151;702;0.4497998;0.5133542;0.3137309;0.3436997;487.5;0.2571678;False;29.08.2023 18:03:27:818;1693325007818;_mainView;
1102;665;0.4305024;0.4862619;0.3137304;0.3437004;484.8;0.2571678;False;29.08.2023 18:03:27:835;1693325007835;_mainView;
1037;625;0.4051719;0.4567565;0.2743033;0.3230154;482.4;0.2581529;False;29.08.2023 18:03:27:852;1693325007852;_mainView;
972;587;0.3799373;0.4293832;0.2743032;0.3230154;480.3;0.2581527;False;29.08.2023 18:03:27:868;1693325007868;_mainView;
915;555;0.3574717;0.4059018;0.2743033;0.3230154;478.4;0.2581527;False;29.08.2023 18:03:27:885;1693325007885;_mainView;
875;507;0.3418092;0.3709317;0.3035708;0.1774485;474.4;0.2512421;False;29.08.2023 18:03:27:902;1693325007902;_mainView;
837;456;0.3273083;0.333229;0.2710888;0.1637456;470.6;0.2637251;False;29.08.2023 18:03:27:918;1693325007918;_mainView;
806;408;0.314883;0.2984039;0.2710887;0.1637454;467.2;0.263725;False;29.08.2023 18:03:27:935;1693325007935;_mainView;
776;364;0.3034616;0.2662622;0.2595416;0.1420908;465.5;0.270362;False;29.08.2023 18:03:27:952;1693325007952;_mainView;
751;326;0.2937139;0.2387688;0.2595416;0.1420908;463.9;0.2703621;False;29.08.2023 18:03:27:969;1693325007969;_mainView;
724;290;0.2831784;0.2123314;0.2357204;0.1055321;460.6;0.2607314;False;29.08.2023 18:03:27:986;1693325007986;_mainView;
699;259;0.2734365;0.1892132;0.2357204;0.1055312;457.6;0.2607314;False;29.08.2023 18:03:28:2;1693325008002;_mainView;
729;239;0.2851172;0.1751885;0.421007;0.1531124;458.6;0.2261411;False;29.08.2023 18:03:32:142;1693325012142;_mainView;
776;278;0.3034262;0.2032113;0.407212;0.4913425;461.2;0.2238125;False;29.08.2023 18:03:32:254;1693325012254;_mainView;
822;306;0.3214795;0.2237128;0.3962955;0.2793717;464.2;0.210005;False;29.08.2023 18:03:32:296;1693325012296;_mainView;
866;347;0.3385397;0.2535586;0.4061953;0.4168238;465.4;0.2251108;False;29.08.2023 18:03:32:357;1693325012357;_mainView;
898;411;0.3510817;0.3005863;0.385468;0.5678036;465.8;0.2626457;False;29.08.2023 18:03:32:898;1693325012898;_mainView;
1068;473;0.417201;0.3457409;0.9121186;0.5278704;467.0;0.2433615;False;29.08.2023 18:03:33:132;1693325013132;_mainView;
1279;527;0.4996371;0.3851958;0.9121192;0.5278706;468.1;0.2433606;False;29.08.2023 18:03:33:148;1693325013148;_mainView;
1497;573;0.5850278;0.4189568;0.9557754;0.5377325;474.5;0.261317;False;29.08.2023 18:03:33:165;1693325013165;_mainView;
1695;611;0.6624849;0.4465762;0.9557754;0.5377325;480.3;0.2613167;False;29.08.2023 18:03:33:181;1693325013181;_mainView;
1848;625;0.7222584;0.457065;0.9017408;0.431715;483.3;0.2583297;False;29.08.2023 18:03:33:265;1693325013265;_mainView;
1972;621;0.7704687;0.4537974;0.9261695;0.3843229;487.6;0.2644023;False;29.08.2023 18:03:33:398;1693325013398;_secondaryView;
2067;613;0.8076724;0.447958;0.9193833;0.4130015;488.8;0.2612985;False;29.08.2023 18:03:33:414;1693325013414;_secondaryView;
2140;604;0.8360359;0.4416234;0.9193833;0.413002;489.9;0.2612981;False;29.08.2023 18:03:33:431;1693325013431;_secondaryView;
2237;602;0.8739321;0.440328;1.071785;0.4553053;492.3;0.2604512;False;29.08.2023 18:03:33:965;1693325013965;_secondaryView;
2334;604;0.9119075;0.4413792;1.071785;0.4553055;494.4;0.2604512;False;29.08.2023 18:03:33:983;1693325013983;_secondaryView;
2408;603;0.940753;0.4411847;1.024951;0.4353194;495.1;0.2612568;False;29.08.2023 18:03:34:0;1693325014000;_secondaryView;
2480;643;0.9688287;0.470152;1.083671;0.7100334;495.4;0.2660032;False;29.08.2023 18:03:34:16;1693325014016;_secondaryView;
2543;696;0.9935333;0.5087591;1.08367;0.7100329;495.7;0.2660075;False;29.08.2023 18:03:34:31;1693325014031;_secondaryView;
2598;751;1.01517;0.5487789;1.093647;0.7226498;496.1;0.2545843;False;29.08.2023 18:03:34:48;1693325014048;Offscreen;
2644;800;1.033126;0.5850927;1.093647;0.7226495;496.6;0.2545856;False;29.08.2023 18:03:34:65;1693325014065;Offscreen;
2672;842;1.04413;0.6153122;1.062197;0.717585;496.6;0.2604956;False;29.08.2023 18:03:34:83;1693325014083;Offscreen;
2690;875;1.050901;0.6395974;1.062197;0.717585;496.5;0.2604956;False;29.08.2023 18:03:34:99;1693325014099;Offscreen;
2685;899;1.048846;0.6567149;1.004445;0.6995894;496.7;0.2629366;False;29.08.2023 18:03:34:115;1693325014115;Offscreen;
2670;915;1.043148;0.6688439;1.004445;0.6995897;496.9;0.2629366;False;29.08.2023 18:03:34:131;1693325014131;Offscreen;
2654;929;1.036896;0.6788502;1.00838;0.7122902;497.7;0.2619697;False;29.08.2023 18:03:34:149;1693325014149;Offscreen;
2639;940;1.031076;0.6868457;1.00838;0.7122902;498.5;0.2619696;False;29.08.2023 18:03:34:166;1693325014166;Offscreen;
