userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;MouseTravelDistanceInCm;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
JM29;7;Trajectory;0,0;3;0;1260;639;False;False;None;0;0;0;0;0;
JM29;7;Trajectory;0,1;3;0;1159;780;False;False;None;11,7596;0;0;0;0;
JM29;7;Trajectory;0,2;3;0;1326;657;False;False;None;17,92532;0;0;0;0;
JM29;7;Trajectory;0,3;3;0;1400;657;False;False;None;19,94199;0;0;0;0;
JM29;7;Trajectory;0,4;3;0;1397;657;False;False;None;20,02225;0;0;0;0;
JM29;7;Trajectory;0,5;3;0;1397;657;False;False;MainView;20,02225;0;0;0;0;
JM29;7;Trajectory;0,6;3;0;1397;657;False;False;MainView;20,02225;0;0;0;0;
JM29;7;Trajectory;0,7;3;0;1403;629;False;False;MainView;20,88481;0;0;0;0;
JM29;7;Trajectory;0,8;3;0;1376;598;False;False;MainView;22,12179;0;0;0;0;
JM29;7;Trajectory;0,9;3;0;1260;615;False;False;MainView;25,31942;0;0;0;0;
JM29;7;Trajectory;1,0;3;0;508;1021;False;False;RequestList;48,1937;0;0;0;0;
JM29;7;Trajectory;1,1;3;0;409;1119;False;False;RequestList;53,1883;0;0;0;0;
JM29;7;Trajectory;1,2;3;0;434;1143;False;False;MainView;55,14233;0;0;0;0;
JM29;7;Trajectory;1,3;3;0;214;1255;False;False;MainView;61,7892;0;0;0;0;
JM29;7;Trajectory;1,4;3;0;172;1311;False;False;MainView;63,82907;0;0;0;0;
JM29;7;Trajectory;1,5;3;0;213;1294;False;False;MainView;65,17063;1;0;0;0;
JM29;7;Trajectory;1,6;3;0;682;1081;False;False;MainView;78,95341;1;0;0;0;
JM29;7;Trajectory;1,7;3;0;802;1028;False;True;MainView;83,72139;1;0;0;0;
JM29;7;Trajectory;1,8;3;0;515;1140;False;True;MainView;91,96625;1;0;0;0;
JM29;7;Trajectory;1,9;3;0;161;1283;False;True;MainView;101,5649;1;0;0;0;
JM29;7;Trajectory;2,0;3;0;151;1297;False;True;MainView;102,7036;1;0;0;0;
JM29;7;Trajectory;2,1;3;0;116;1346;False;True;MainView;104,328;1;0;0;0;
JM29;7;Trajectory;2,2;3;0;136;1343;False;True;MainView;104,863;1;0;0;0;
JM29;7;Trajectory;2,3;3;0;140;1333;False;True;MainView;105,3178;1;0;0;0;
JM29;7;Trajectory;2,4;3;0;311;1249;False;True;MainView;110,4971;2;0;0;0;
JM29;7;Trajectory;2,5;3;0;1169;1063;False;True;MainView;128,2172;2;0;0;0;
JM29;7;Trajectory;2,6;3;0;1610;955;False;True;SecondaryView;145,1366;2;0;0;0;
JM29;7;Trajectory;2,7;3;0;1907;895;False;True;SecondaryView;154,2884;2;0;0;0;
JM29;7;Trajectory;2,8;3;0;2170;839;False;True;SecondaryView;160,3265;2;0;0;0;
JM29;7;Trajectory;2,9;3;0;2394;808;False;True;SecondaryView;167,269;2;0;0;0;
JM29;7;Trajectory;3,0;3;0;2453;794;False;True;SecondaryView;169,211;2;0;0;0;
JM29;7;Trajectory;3,1;3;0;2478;794;False;True;SecondaryView;169,7728;2;0;0;0;
JM29;7;Trajectory;3,2;3;0;2506;787;False;True;MainView;170,5754;2;0;0;0;
JM29;7;Trajectory;3,3;3;0;2513;790;True;False;MainView;170,9767;2;0;0;0;
JM29;7;Trajectory;3,4;3;0;2324;734;True;False;MainView;174,7387;2;0;0;0;
JM29;7;Trajectory;3,5;3;0;2002;730;True;False;MainView;183,6595;2;0;0;0;
JM29;7;Trajectory;3,6;3;0;1705;800;True;False;MainView;193,0748;2;0;0;0;
JM29;7;Trajectory;3,7;3;0;1558;818;True;False;MainView;196,9578;2;0;0;0;
JM29;7;Trajectory;3,8;3;0;1557;832;True;False;MainView;197,7833;2;0;0;0;
JM29;7;Trajectory;3,9;3;0;1557;902;True;False;MainView;199,8616;2;0;0;0;
JM29;7;Trajectory;4,0;3;0;1530;930;True;False;MainView;201,6532;2;0;0;0;
JM29;7;Trajectory;4,1;3;0;1505;933;True;False;MainView;202,9542;2;0;0;0;
JM29;7;Trajectory;4,2;3;0;1522;1063;True;False;MainView;206,6723;2;0;0;0;
JM29;7;Trajectory;4,3;3;0;1543;1178;True;False;MainView;209,8161;2;0;0;0;
JM29;7;Trajectory;4,4;3;0;1526;902;True;False;MainView;215,1637;3;0;0;0;
JM29;7;Trajectory;4,5;3;0;1533;458;True;False;MainView;229,1449;3;0;0;0;
JM29;7;Trajectory;4,6;3;0;1561;590;True;False;MainView;232,0857;3;0;0;0;
JM29;7;Trajectory;4,7;3;0;1596;1038;True;False;MainView;243,6219;3;0;0;0;
JM29;7;Trajectory;4,8;3;0;1613;1053;True;False;MainView;248,2816;3;0;0;0;
JM29;7;Trajectory;4,9;3;0;1610;531;True;False;MainView;262,3358;4;0;0;0;
JM29;7;Trajectory;5,0;3;0;1610;769;True;False;MainView;268,4395;4;0;0;0;
JM29;7;Trajectory;5,1;3;0;1533;1095;True;False;MainView;280,1791;4;0;0;0;
JM29;7;Trajectory;5,2;3;0;1564;647;True;False;MainView;290,0234;5;0;0;0;
JM29;7;Trajectory;5,3;3;0;1599;450;True;False;MainView;297,9957;5;0;0;0;
JM29;7;Trajectory;5,4;3;0;1593;800;True;False;MainView;307,685;5;0;0;0;
JM29;7;Trajectory;5,5;3;0;1565;955;True;False;MainView;312,0775;5;0;0;0;
JM29;7;Trajectory;5,6;3;0;1575;727;True;False;MainView;318,188;6;0;0;0;
JM29;7;Trajectory;5,7;3;0;1578;696;True;False;MainView;319,0291;6;0;0;0;
JM29;7;Trajectory;5,8;3;0;1551;657;True;False;MainView;320,3819;6;0;0;0;
JM29;7;Trajectory;5,9;3;0;1491;549;True;False;MainView;323,7906;6;0;0;0;
JM29;7;Trajectory;6,0;3;0;1474;426;True;False;MainView;327,1677;6;0;0;0;
