userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;MouseTravelDistanceInCm;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
ML16;9;Waypoint;0,0;3;0;1197;571;False;False;None;0;0;0;0;0;
ML16;9;Waypoint;0,1;3;0;1076;649;False;False;None;3,927322;0;0;0;0;
ML16;9;Waypoint;0,2;3;0;1012;666;False;False;None;4,450044;0;0;0;0;
ML16;9;Waypoint;0,3;3;0;609;777;False;False;None;16,91481;0;0;0;0;
ML16;9;Waypoint;0,4;3;0;301;929;False;False;None;25,74347;0;0;0;0;
ML16;9;Waypoint;0,5;3;0;284;1004;False;False;RequestList;28,27473;0;0;0;0;
ML16;9;Waypoint;0,6;3;0;253;1087;False;False;RequestList;30,69402;0;0;0;0;
ML16;9;Waypoint;0,7;3;0;177;1135;False;False;RequestList;33,12302;0;0;0;0;
ML16;9;Waypoint;0,8;3;0;158;1144;False;False;RequestList;33,45018;0;0;0;0;
ML16;9;Waypoint;0,9;3;0;136;1174;False;False;RequestList;34,78513;0;0;0;0;
ML16;9;Waypoint;1,0;3;0;190;1135;False;False;RequestList;35,40596;1;0;0;0;
ML16;9;Waypoint;1,1;3;0;779;792;False;False;RequestList;55,00064;1;0;0;0;
ML16;9;Waypoint;1,2;3;0;996;651;False;False;MainView;61,69112;1;0;0;0;
ML16;9;Waypoint;1,3;3;0;1004;651;False;True;MainView;61,9304;1;0;0;0;
ML16;9;Waypoint;1,4;3;0;1022;655;False;True;MainView;62,14442;1;0;0;0;
ML16;9;Waypoint;1,5;3;0;1062;672;False;True;MainView;63,80634;1;0;0;0;
ML16;9;Waypoint;1,6;3;0;1084;682;False;True;MainView;64,45586;1;0;0;0;
ML16;9;Waypoint;1,7;3;0;1084;682;False;True;MainView;64,45586;1;0;0;0;
ML16;9;Waypoint;1,8;3;0;1072;668;False;True;MainView;64,89014;1;0;0;0;
ML16;9;Waypoint;1,9;3;0;1088;649;False;True;MainView;65,52383;1;0;0;0;
ML16;9;Waypoint;2,0;3;0;1626;624;False;True;MainView;76,37269;1;0;0;0;
ML16;9;Waypoint;2,1;3;0;1884;709;False;True;SecondaryView;87,56789;1;0;0;0;
ML16;9;Waypoint;2,2;3;0;1952;859;False;True;None;91,63722;1;0;0;0;
ML16;9;Waypoint;2,3;3;0;1955;880;False;True;None;92,7417;1;0;0;0;
ML16;9;Waypoint;2,4;3;0;1999;909;False;True;None;93,96998;1;0;0;0;
ML16;9;Waypoint;2,5;3;0;2012;924;False;True;None;94,81124;1;0;0;0;
