userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
ML16;9;Waypoint;0,0;RequestStarted;1;
ML16;9;Waypoint;0,0;RequestStarted;2;
ML16;9;Waypoint;0,0;RequestStarted;3;
ML16;9;Waypoint;1,2;RequestOpenedMain;1;
ML16;9;Waypoint;11,6;RequestRemovedMain;1;
ML16;9;Waypoint;11,6;RequestOpenedSecondary;1;
ML16;9;Waypoint;11,6;RequestOpenedMain;2;
ML16;9;Waypoint;15,9;RequestRemovedMain;2;
ML16;9;Waypoint;15,9;RequestOpenedMain;3;
ML16;9;Waypoint;26,0;RequestRemovedSecondary;1;
ML16;9;Waypoint;26,0;RequestRemovedMain;3;
ML16;9;Waypoint;26,0;RequestOpenedSecondary;3;
ML16;9;Waypoint;26,0;RequestOpenedMain;1;
ML16;9;Waypoint;26,0;RequestRemovedSecondary;3;
ML16;9;Waypoint;26,0;RequestOpenedSecondary;3;
ML16;9;Waypoint;30,8;RequestRemovedSecondary;3;
ML16;9;Waypoint;30,8;RequestRemovedMain;1;
ML16;9;Waypoint;30,8;RequestOpenedSecondary;1;
ML16;9;Waypoint;30,8;RequestOpenedMain;3;
ML16;9;Waypoint;30,8;RequestRemovedSecondary;1;
ML16;9;Waypoint;30,8;RequestOpenedSecondary;1;
ML16;9;Waypoint;37,8;RequestRemovedSecondary;1;
ML16;9;Waypoint;37,8;RequestRemovedMain;3;
ML16;9;Waypoint;37,8;RequestOpenedSecondary;3;
ML16;9;Waypoint;37,8;RequestOpenedMain;1;
ML16;9;Waypoint;37,8;RequestRemovedSecondary;3;
ML16;9;Waypoint;37,8;RequestOpenedSecondary;3;
ML16;9;Waypoint;43,0;RequestRemovedSecondary;3;
ML16;9;Waypoint;43,0;RequestRemovedMain;1;
ML16;9;Waypoint;43,0;RequestOpenedSecondary;1;
ML16;9;Waypoint;43,0;RequestOpenedMain;3;
ML16;9;Waypoint;43,0;RequestRemovedSecondary;1;
ML16;9;Waypoint;43,0;RequestOpenedSecondary;1;
ML16;9;Waypoint;48,5;RequestRemovedMain;3;
ML16;9;Waypoint;48,5;RequestOpenedMain;2;
ML16;9;Waypoint;56,7;RequestRemovedSecondary;1;
ML16;9;Waypoint;56,7;RequestRemovedMain;2;
ML16;9;Waypoint;56,7;RequestOpenedSecondary;2;
ML16;9;Waypoint;56,7;RequestOpenedMain;1;
ML16;9;Waypoint;56,7;RequestRemovedSecondary;2;
ML16;9;Waypoint;56,7;RequestOpenedSecondary;2;
ML16;9;Waypoint;90,2;RequestRemovedSecondary;2;
ML16;9;Waypoint;90,2;RequestRemovedMain;1;
ML16;9;Waypoint;90,2;RequestOpenedSecondary;1;
ML16;9;Waypoint;90,2;RequestOpenedMain;2;
ML16;9;Waypoint;90,2;RequestRemovedSecondary;1;
ML16;9;Waypoint;90,2;RequestOpenedSecondary;1;
ML16;9;Waypoint;95,5;RequestRemovedSecondary;1;
ML16;9;Waypoint;95,5;RequestRemovedMain;2;
ML16;9;Waypoint;95,5;RequestOpenedSecondary;2;
ML16;9;Waypoint;95,5;RequestOpenedMain;1;
ML16;9;Waypoint;95,5;RequestRemovedSecondary;2;
ML16;9;Waypoint;95,5;RequestOpenedSecondary;2;
