X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
584;314;0.2284589;0.229964;0.5712044;0.5749674;501.3;0.2499505;False;24.08.2023 14:18:23:906;1692879503906;_mainView;
910;498;0.3557341;0.3642232;0.5243774;0.5571606;503.1;0.2399821;False;24.08.2023 14:18:23:923;1692879503923;_mainView;
1080;600;0.4220544;0.4389633;0.4812812;0.5277692;504.6;0.2377012;False;24.08.2023 14:18:23:941;1692879503941;_mainView;
1105;652;0.431913;0.4767801;0.2921429;0.4972209;505.2;0.2423806;False;24.08.2023 14:18:23:959;1692879503959;_mainView;
1073;677;0.4192995;0.4951832;0.2917007;0.4976421;505.8;0.2420302;False;24.08.2023 14:18:23:973;1692879503973;_mainView;
1047;683;0.4090783;0.4989356;0.3771164;0.4588738;506.9;0.205749;False;24.08.2023 14:18:23:990;1692879503990;_mainView;
1026;679;0.401096;0.4961054;0.3771164;0.4588738;507.9;0.205749;False;24.08.2023 14:18:24:7;1692879504007;_mainView;
975;677;0.3809163;0.4949227;0.2488713;0.4965569;503.0;0.2101043;False;24.08.2023 14:18:24:24;1692879504024;_mainView;
915;677;0.3577201;0.4945844;0.2488714;0.4965566;498.6;0.210104;False;24.08.2023 14:18:24:40;1692879504040;_mainView;
829;668;0.324095;0.4883338;0.1413486;0.4383565;492.5;0.2054813;False;24.08.2023 14:18:24:57;1692879504057;_mainView;
741;657;0.289589;0.4801859;0.1413477;0.4383575;487.0;0.2054815;False;24.08.2023 14:18:24:74;1692879504074;_mainView;
663;655;0.2593011;0.4788088;0.1492474;0.5004207;482.4;0.1964061;False;24.08.2023 14:18:24:90;1692879504090;_mainView;
599;657;0.2341404;0.480543;0.1492462;0.5004219;478.3;0.1964061;False;24.08.2023 14:18:24:108;1692879504108;_mainView;
518;685;0.2026075;0.5006745;0.04435117;0.6597484;476.3;0.1993668;False;24.08.2023 14:18:24:124;1692879504124;_mainView;
439;721;0.1716953;0.5266827;0.04435171;0.6597477;474.5;0.1993664;False;24.08.2023 14:18:24:140;1692879504140;_mainView;
453;723;0.1772543;0.5288264;0.3483826;0.4411384;476.7;0.2390913;False;24.08.2023 14:18:24:157;1692879504157;_mainView;
507;712;0.198182;0.5202887;0.3483808;0.4411372;478.7;0.239089;False;24.08.2023 14:18:24:173;1692879504173;_mainView;
533;701;0.2085896;0.5125188;0.2096877;0.4829859;479.7;0.2352265;False;24.08.2023 14:18:24:190;1692879504190;_mainView;
545;692;0.2132657;0.505925;0.2096871;0.4829866;480.5;0.2352263;False;24.08.2023 14:18:24:207;1692879504207;_mainView;
550;685;0.2149267;0.5005587;0.2096873;0.4829864;481.3;0.2352266;False;24.08.2023 14:18:24:224;1692879504224;_mainView;
571;665;0.2233445;0.4861223;0.2860927;0.3887115;479.2;0.2031733;False;24.08.2023 14:18:24:241;1692879504241;_mainView;
598;642;0.2338113;0.4692739;0.2860917;0.3887111;477.3;0.2031731;False;24.08.2023 14:18:24:260;1692879504260;_mainView;
508;676;0.1988115;0.4943635;-0.1324879;0.7697249;475.5;0.2345672;False;24.08.2023 14:18:24:276;1692879504276;_mainView;
388;730;0.1516902;0.5338254;-0.09541381;0.7578686;474.0;0.2342585;False;24.08.2023 14:18:24:292;1692879504292;_mainView;
313;761;0.1222821;0.5559857;0.07050247;0.5789821;477.2;0.2440446;False;24.08.2023 14:18:24:309;1692879504309;_mainView;
255;780;0.09978981;0.5699075;0.03331227;0.5950157;477.4;0.2427911;False;24.08.2023 14:18:24:376;1692879504376;_requestList;
206;795;0.0806209;0.5809177;0.01354904;0.615378;478.0;0.2694459;False;24.08.2023 14:18:24:394;1692879504394;_requestList;
166;806;0.06497882;0.5894629;0.01354946;0.6153775;478.6;0.2694463;False;24.08.2023 14:18:24:408;1692879504408;_requestList;
