X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
539;334;0.2109012;0.2444636;0.5273057;0.6112201;20006.8;0.1796431;False;22.08.2023 09:56:23:489;1692690983489;_mainView;
931;512;0.3637061;0.3745846;0.652595;0.5321422;19987.1;0.1789888;False;22.08.2023 09:56:23:508;1692690983508;_mainView;
1106;628;0.4320592;0.4590042;0.4410976;0.6110682;19969.3;0.1784145;False;22.08.2023 09:56:23:522;1692690983522;_mainView;
1321;692;0.5161401;0.5056158;0.8646431;0.5546728;19953.6;0.1757439;False;22.08.2023 09:56:23:540;1692690983540;_mainView;
1518;727;0.5931721;0.5310892;0.864643;0.5546734;19939.6;0.1757439;False;22.08.2023 09:56:23:556;1692690983556;_mainView;
1713;733;0.669217;0.5358028;0.970233;0.4766171;20021.5;0.2083481;False;22.08.2023 09:56:24:391;1692690984391;_mainView;
1824;739;0.7125818;0.5402296;0.7629446;0.5572474;20133.8;0.2032086;False;22.08.2023 09:56:24:410;1692690984410;_mainView;
1898;739;0.7415081;0.5398824;0.8041248;0.5195011;20234.9;0.2031024;False;22.08.2023 09:56:24:427;1692690984427;_secondaryView;
1951;745;0.7624741;0.5445532;0.8180331;0.5841446;20281.2;0.2197901;False;22.08.2023 09:56:24:696;1692690984696;_secondaryView;
1898;734;0.7415775;0.5365358;0.4854857;0.4518686;20103.0;0.2254935;False;22.08.2023 09:56:54:612;1692691014612;_secondaryView;
1748;745;0.6830873;0.5446683;0.2859808;0.6440041;19933.7;0.2349589;False;22.08.2023 09:56:54:686;1692691014686;_mainView;
1590;747;0.6211387;0.5461216;0.3471495;0.5252011;19806.2;0.2421446;False;22.08.2023 09:56:54:713;1692691014713;_mainView;
1485;734;0.5802829;0.536689;0.4941235;0.4530069;19691.5;0.2427976;False;22.08.2023 09:56:54:737;1692691014737;_mainView;
1404;729;0.5486136;0.5332106;0.4528026;0.5427177;19750.4;0.2302947;False;22.08.2023 09:56:54:764;1692691014764;_mainView;
1316;732;0.514267;0.5347781;0.3591345;0.5618044;19732.1;0.2278492;False;22.08.2023 09:56:54:886;1692691014886;_mainView;
1237;736;0.4834546;0.5382614;0.3683263;0.560658;19715.6;0.2277587;False;22.08.2023 09:56:54:908;1692691014908;_mainView;
1285;748;0.5022559;0.5466411;0.782284;0.6016874;19765.5;0.2229559;False;22.08.2023 09:56:55:211;1692691015211;_mainView;
1384;761;0.5407504;0.5562591;0.7822841;0.6016872;19810.4;0.2229558;False;22.08.2023 09:56:55:228;1692691015228;_mainView;
1483;779;0.5796317;0.5694325;0.744559;0.6391881;19876.7;0.2179082;False;22.08.2023 09:56:55:248;1692691015248;_mainView;
1559;800;0.6090919;0.584382;0.6946918;0.6543896;19860.6;0.227324;False;22.08.2023 09:56:55:269;1692691015269;_mainView;
1635;812;0.6388246;0.5937988;0.7648525;0.6109439;19846.1;0.2273182;False;22.08.2023 09:56:55:286;1692691015286;_mainView;
1703;821;0.6654601;0.5997748;0.7648199;0.61094;19833.0;0.2273176;False;22.08.2023 09:56:55:304;1692691015304;_mainView;
1761;822;0.6879069;0.6006755;0.7652442;0.5838933;19768.5;0.2187875;False;22.08.2023 09:56:55:788;1692691015788;_mainView;
1807;820;0.7060937;0.5992564;0.765244;0.5838933;19710.4;0.2187875;False;22.08.2023 09:56:55:806;1692691015806;_mainView;
1846;820;0.7211491;0.5995129;0.7717158;0.6073799;19810.6;0.1939286;False;22.08.2023 09:56:59:558;1692691019558;_mainView;
1842;827;0.7197777;0.6047777;0.6474483;0.6471941;19902.8;0.1749249;False;22.08.2023 09:57:03:146;1692691023146;_mainView;
1821;837;0.7113686;0.6116669;0.6475176;0.6471951;19985.7;0.1749132;False;22.08.2023 09:57:03:164;1692691023164;_mainView;
1777;849;0.6944573;0.6206156;0.5889503;0.6665593;20086.8;0.1809386;False;22.08.2023 09:57:03:184;1692691023184;_mainView;
1845;828;0.7207388;0.6048278;1.006194;0.4382538;20077.7;0.2176079;False;22.08.2023 09:57:03:755;1692691023755;_mainView;
1953;793;0.7630947;0.5799137;1.006194;0.4382534;20069.5;0.217608;False;22.08.2023 09:57:03:772;1692691023772;_secondaryView;
2079;765;0.8121467;0.5590131;1.045377;0.4874618;20107.4;0.210733;False;22.08.2023 09:57:03:791;1692691023791;_secondaryView;
