userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
SD28;-2;InteractivePathPlanning;0,0;RequestStarted;1;
SD28;-2;InteractivePathPlanning;0,0;RequestStarted;2;
SD28;-2;InteractivePathPlanning;2,3;RequestOpenedMain;2;
SD28;-2;InteractivePathPlanning;4,3;RequestOpenedSecondary;1;
SD28;-2;InteractivePathPlanning;15,5;RequestRemovedSecondary;1;
SD28;-2;InteractivePathPlanning;15,5;RequestRemovedMain;2;
SD28;-2;InteractivePathPlanning;15,5;RequestOpenedSecondary;2;
SD28;-2;InteractivePathPlanning;15,5;RequestOpenedMain;1;
SD28;-2;InteractivePathPlanning;15,5;RequestRemovedSecondary;2;
SD28;-2;InteractivePathPlanning;15,5;RequestOpenedSecondary;2;
SD28;-2;InteractivePathPlanning;22,6;RequestRemovedSecondary;2;
SD28;-2;InteractivePathPlanning;22,6;RequestRemovedMain;1;
SD28;-2;InteractivePathPlanning;22,6;RequestOpenedSecondary;1;
SD28;-2;InteractivePathPlanning;22,6;RequestOpenedMain;2;
SD28;-2;InteractivePathPlanning;22,6;RequestRemovedSecondary;1;
SD28;-2;InteractivePathPlanning;22,6;RequestOpenedSecondary;1;
SD28;-2;InteractivePathPlanning;32,9;RequestRemovedSecondary;1;
SD28;-2;InteractivePathPlanning;32,9;RequestRemovedMain;2;
SD28;-2;InteractivePathPlanning;32,9;RequestOpenedSecondary;2;
SD28;-2;InteractivePathPlanning;32,9;RequestOpenedMain;1;
SD28;-2;InteractivePathPlanning;32,9;RequestRemovedSecondary;2;
SD28;-2;InteractivePathPlanning;32,9;RequestOpenedSecondary;2;
SD28;-2;InteractivePathPlanning;53,4;RequestRemovedSecondary;2;
SD28;-2;InteractivePathPlanning;53,4;RequestRemovedMain;1;
SD28;-2;InteractivePathPlanning;53,4;RequestOpenedSecondary;1;
SD28;-2;InteractivePathPlanning;53,4;RequestOpenedMain;2;
SD28;-2;InteractivePathPlanning;53,4;RequestRemovedSecondary;1;
SD28;-2;InteractivePathPlanning;53,4;RequestOpenedSecondary;1;
SD28;-2;InteractivePathPlanning;58,7;RequestRemovedSecondary;1;
SD28;-2;InteractivePathPlanning;58,7;RequestFinished;1;
SD28;-2;InteractivePathPlanning;77,8;RequestRemovedMain;2;
SD28;-2;InteractivePathPlanning;77,8;RequestFinished;2;
