UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
SD28;2;InteractivePathPlanning;1;0,0;0,01827567;202,0183;196,9147;196,9147;599,7175;(0.00, -0.44, 0.00);0;False;False;1;0,2369704;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,1;0,01409472;202,0042;196,9147;196,9147;599,7034;(0.00, -0.44, 0.01);0,4839095;False;False;1;0,2368404;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,2;0,04663377;201,9576;196,9147;196,9147;599,6567;(-0.02, -0.44, 0.05);1,497911;False;False;1;0,2365329;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,3;0,07927766;201,8783;196,9147;196,9147;599,5776;(-0.04, -0.44, 0.12);2,391152;False;False;1;0,235477;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,4;0,09401258;201,7843;196,9147;196,9147;599,4835;(-0.06, -0.44, 0.19);3,404519;False;False;1;0,2340564;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;1482,4;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,5;0,1426073;201,6417;196,9147;196,9147;599,3411;(-0.10, -0.44, 0.31);4,277061;False;False;1;0,2318265;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;1482,5;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,6;0,1801524;201,4616;196,9147;196,9147;599,161;(-0.15, -0.44, 0.46);5,399187;False;False;1;0,228551;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;1482,6;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,7;0,1865173;201,2752;196,9147;196,9147;598,9747;(-0.21, -0.44, 0.62);6,616341;False;False;1;0,2237818;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;1482,8;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,8;0,2580321;201,0173;196,9147;196,9147;598,7169;(-0.28, -0.44, 0.83);7,933598;False;False;1;0,2174872;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;1483,0;20;0,00;0,00;False;False;1;Left;
SD28;2;InteractivePathPlanning;1;0,9;0,3046313;200,7129;196,9147;196,9147;598,4129;(-0.37, -0.44, 1.08);9,136898;False;False;1;0,2068146;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;1483,2;20;0,00;0,00;False;False;1;Left;
