userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
OA09;8;InteractivePathPlanning;0,0;RequestStarted;1;
OA09;8;InteractivePathPlanning;0,0;RequestStarted;2;
OA09;8;InteractivePathPlanning;0,0;RequestStarted;3;
OA09;8;InteractivePathPlanning;1,9;RequestOpenedMain;2;
OA09;8;InteractivePathPlanning;50,9;RequestRemovedMain;2;
OA09;8;InteractivePathPlanning;50,9;RequestFinished;2;
OA09;8;InteractivePathPlanning;53,1;RequestOpenedMain;3;
OA09;8;InteractivePathPlanning;84,9;RequestRemovedMain;3;
OA09;8;InteractivePathPlanning;84,9;RequestFinished;3;
OA09;8;InteractivePathPlanning;87,3;RequestOpenedMain;1;
