UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
RZ22;8;InteractivePathPlanning;3;0,0;0,01841518;199,268;194,166;194,166;603,7459;(0.00, -0.44, 0.00);0;False;False;1;0,4931983;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,1;0,01181963;199,257;194,166;194,166;603,7352;(-0.01, -0.44, 0.01);0,4027984;False;False;1;0,4899054;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;3622,4;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,2;0,04140273;199,2157;194,166;194,166;603,6939;(-0.02, -0.44, 0.04);1,232477;False;False;1;0,4881183;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;3622,4;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,3;0,06207348;199,1537;194,166;194,166;603,6318;(-0.04, -0.44, 0.09);2,399542;False;False;1;0,4872625;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;3622,5;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,4;0,1030125;199,0507;194,166;194,166;603,5289;(-0.06, -0.44, 0.18);3,232983;False;False;1;0,4856297;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;3622,5;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,5;0,1177032;198,933;194,166;194,166;603,4113;(-0.10, -0.44, 0.28);4,032934;False;False;1;0,4838684;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;3622,6;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,6;0,1724559;198,7606;194,166;194,166;603,2392;(-0.15, -0.44, 0.42);5,513734;False;False;1;0,48027;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;3622,7;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,7;0,1805774;198,5801;194,166;194,166;603,0588;(-0.20, -0.44, 0.57);6,593805;False;False;1;0,4759335;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;3622,9;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,8;0,2522246;198,328;194,166;194,166;602,8068;(-0.27, -0.44, 0.78);7,951483;False;False;1;0,4701512;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;3623,1;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;0,9;0,2998407;198,0284;194,166;194,166;602,5074;(-0.36, -0.44, 1.02);9,417092;False;False;1;0,4598466;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;3623,3;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,0;0,2975475;197,7312;194,166;194,166;602,2108;(-0.45, -0.44, 1.27);10,75281;False;False;1;0,4476573;0,00;0,00;0,00;0;0;0;0;0;1,0;0,0;0,0;0,0;3623,6;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,1;0,3973109;197,3343;193,5946;193,5946;601,8143;(-0.57, -0.44, 1.60);12,40356;False;False;1;0,4304808;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;0,0;3623,9;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,2;0,4553865;196,8798;193,0231;193,0231;601,3605;(-0.71, -0.44, 1.97);14,1814;False;False;1;0,4049531;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;0,0;3624,3;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,3;0,4368057;196,444;192,4517;192,4517;600,9255;(-0.85, -0.44, 2.32);15,67161;False;False;1;0,3781707;0,00;0,00;0,00;0;0;0;0;0;1,3;0,0;0,0;0,0;3624,8;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,4;0,5626923;195,8828;191,8804;191,8804;600,3654;(-1.03, -0.44, 2.78);17,34821;False;False;1;0,3412582;0,00;0,00;0,00;0;0;0;0;0;1,4;0,0;0,0;0,0;3625,2;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,5;0,6173134;195,267;191,309;191,309;599,7507;(-1.22, -0.44, 3.29);18,98042;False;False;1;0,3018282;0,00;0,00;0,00;0;0;0;0;0;1,5;0,0;0,0;0,0;3625,7;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,6;0,6717151;194,5965;190,7375;190,7375;599,0811;(-1.43, -0.44, 3.84);20,15685;False;False;1;0,2659713;0,00;0,00;0,00;0;0;0;0;0;1,6;0,0;0,0;0,0;3626,3;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,7;0,6200027;193,9776;189,5947;189,5947;598,4633;(-1.62, -0.44, 4.34);22,05357;False;False;1;0,2335097;0,00;0,00;0,00;0;0;0;0;0;1,7;0,0;0,0;0,0;3626,9;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,8;0,7744672;193,2044;189,0233;189,0233;597,6909;(-1.86, -0.44, 4.98);23,72275;False;False;1;0,1941174;0,00;0,00;0,00;0;0;0;0;0;1,8;0,0;0,0;0,0;3627,6;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;1,9;0,8307675;192,375;188,4519;188,4519;596,8627;(-2.11, -0.44, 5.66);24,91139;False;False;1;0,1534702;0,00;0,00;0,00;0;0;0;0;0;1,9;0,0;0,0;0,0;3628,4;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,0;0,8846189;191,4917;187,8805;187,8805;595,9806;(-2.38, -0.44, 6.38);26,07885;False;False;1;0,1101271;0,00;0,00;0,00;0;0;0;0;0;2,0;0,0;0,0;0,0;3629,1;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,1;0,8002014;190,6928;186,1664;186,1664;595,183;(-2.63, -0.44, 7.04);28,35277;False;False;1;0,07294983;0,00;0,00;0,00;0;0;0;0;0;2,1;0,0;0,0;0,0;3629,7;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,2;0,9813494;189,713;185,5949;185,5949;594,2045;(-2.93, -0.44, 7.84);29,66583;False;False;1;0,03532965;0,00;0,00;0,00;0;0;0;0;0;2,2;0,0;0,0;0,0;3630,9;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,3;0,8816627;188,8329;184,452;184,452;593,3252;(-3.20, -0.44, 8.57);31,15229;False;False;1;0,03975961;0,00;0,00;0,00;0;0;0;0;0;2,3;0,0;0,0;0,0;3631,9;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,4;1,072636;187,7612;183,3089;183,3089;592,2549;(-3.51, -0.44, 9.45);32,59767;False;False;1;0,07083239;0,00;0,00;0,00;0;0;0;0;0;2,4;0,0;0,0;0,0;3632,7;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,5;0,9576456;186,8039;182,1661;182,1661;591,2982;(-3.78, -0.44, 10.25);33,82764;False;False;1;0,08698427;0,00;0,00;0,00;0;0;0;0;0;2,5;0,0;0,0;0,0;3633,8;20;0,00;0,00;False;False;3;Right;
RZ22;8;InteractivePathPlanning;3;2,6;1,16159;185,6426;181,0232;181,0232;590,1376;(-4.10, -0.44, 11.21);35,24807;False;False;1;0,1044476;0,00;0,00;0,00;0;0;0;0;0;2,6;0,0;0,0;0,0;3634,8;20;0,00;0,00;False;False;3;Right;
