userID;scenarioID;controlMode;elapsedTimeSinceAccess;activeRequests;succeededRequests;mousePositionX;mousePositionY;usingMultiView;usingSingleViewMain;EyeGazeArea;mouseClickLeft;mouseClickRight;pressLeftCtrl;pressShift;
MJ28;10;Trajectory;0,0;4;0;1266;676;False;False;None;0;0;0;0;
MJ28;10;Trajectory;0,1;4;0;27;1133;False;False;None;0;0;0;0;
MJ28;10;Trajectory;0,2;4;0;104;1137;False;False;None;0;0;0;0;
MJ28;10;Trajectory;0,3;4;0;170;1147;False;False;None;0;0;0;0;
MJ28;10;Trajectory;0,4;4;0;125;1196;False;False;None;0;0;0;0;
MJ28;10;Trajectory;0,5;4;0;59;1235;False;False;MainView;0;0;0;0;
MJ28;10;Trajectory;0,6;4;0;48;1259;False;False;MainView;0;0;0;0;
MJ28;10;Trajectory;0,7;4;0;45;1270;False;False;MainView;0;0;0;0;
MJ28;10;Trajectory;0,8;4;0;65;1284;False;False;MainView;0;0;0;0;
MJ28;10;Trajectory;0,9;4;0;86;1294;False;False;MainView;0;0;0;0;
MJ28;10;Trajectory;1,0;4;0;86;1292;False;False;MainView;1;0;0;0;
MJ28;10;Trajectory;1,1;4;0;128;1243;False;False;MainView;1;0;0;0;
MJ28;10;Trajectory;1,2;4;0;618;1061;False;False;MainView;1;0;0;0;
MJ28;10;Trajectory;1,3;4;0;968;917;False;False;MainView;1;0;0;0;
MJ28;10;Trajectory;1,4;4;0;1042;875;False;False;MainView;1;0;0;0;
MJ28;10;Trajectory;1,5;4;0;1150;861;False;True;MainView;1;0;0;0;
MJ28;10;Trajectory;1,6;4;0;1283;837;False;True;MainView;1;0;0;0;
MJ28;10;Trajectory;1,7;4;0;1805;788;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;1,8;4;0;2004;846;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;1,9;4;0;2025;878;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,0;4;0;2032;865;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,1;4;0;2033;861;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,2;4;0;2018;871;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,3;4;0;2019;902;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,4;4;0;2022;907;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,5;4;0;2050;886;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,6;4;0;2012;882;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,7;4;0;2015;895;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,8;4;0;2029;923;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;2,9;4;0;2046;923;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;3,0;4;0;2057;923;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;3,1;4;0;2120;969;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;3,2;4;0;2179;1028;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;3,3;4;0;2211;1064;False;True;SecondaryView;1;0;0;0;
MJ28;10;Trajectory;3,4;4;0;2207;826;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;3,5;4;0;2207;490;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;3,6;4;0;2204;361;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;3,7;4;0;2183;388;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;3,8;4;0;2155;720;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;3,9;4;0;2165;888;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;4,0;4;0;2186;997;False;True;SecondaryView;2;0;0;0;
MJ28;10;Trajectory;4,1;4;0;2176;938;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,2;4;0;2162;609;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,3;4;0;2155;361;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,4;4;0;2148;361;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,5;4;0;2145;409;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,6;4;0;2148;472;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,7;4;0;2151;475;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,8;4;0;2162;500;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;4,9;4;0;2193;528;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,0;4;0;2200;535;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,1;4;0;2200;535;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,2;4;0;2194;522;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,3;4;0;2194;515;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,4;4;0;2190;515;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,5;4;0;2190;515;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,6;4;0;2190;515;False;True;SecondaryView;3;0;0;0;
MJ28;10;Trajectory;5,7;4;0;2190;515;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;5,8;4;0;2190;531;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;5,9;4;0;2190;563;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,0;4;0;2190;594;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,1;4;0;2190;619;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,2;4;0;2197;647;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,3;4;0;2197;671;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,4;4;0;2197;692;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,5;4;0;2197;710;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,6;4;0;2194;734;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,7;4;0;2187;762;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,8;4;0;2187;780;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;6,9;4;0;2187;801;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,0;4;0;2187;825;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,1;4;0;2187;853;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,2;4;0;2187;878;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,3;4;0;2187;895;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,4;4;0;2187;927;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,5;4;0;2183;951;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,6;4;0;2183;972;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,7;4;0;2183;997;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,8;4;0;2183;1021;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;7,9;4;0;2183;1046;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,0;4;0;2183;1077;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,1;4;0;2180;1105;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,2;4;0;2180;1147;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,3;4;0;2180;1172;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,4;4;0;2180;1179;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,5;4;0;2183;1182;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,6;4;0;2186;1193;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,7;4;0;2190;1207;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,8;4;0;2190;1214;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;8,9;4;0;2190;1221;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,0;4;0;2190;1221;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,1;4;0;2190;1221;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,2;4;0;2190;1221;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,3;4;0;2145;1173;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,4;4;0;1728;1103;False;True;SecondaryView;3;1;0;0;
MJ28;10;Trajectory;9,5;4;0;1112;1098;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;9,6;4;0;927;1172;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;9,7;4;0;783;1252;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;9,8;4;0;647;1305;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;9,9;4;0;570;1347;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;10,0;4;0;395;1313;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;10,1;4;0;237;1287;False;True;MainView;3;1;0;0;
MJ28;10;Trajectory;10,2;4;0;136;1319;False;True;RequestList;3;1;0;0;
MJ28;10;Trajectory;10,3;4;0;52;1323;False;True;RequestList;3;1;0;0;
MJ28;10;Trajectory;10,4;4;0;13;1295;False;True;RequestList;4;1;0;0;
MJ28;10;Trajectory;10,5;4;0;86;1260;False;True;MainView;4;1;0;0;
MJ28;10;Trajectory;10,6;4;0;195;1218;False;True;MainView;4;1;0;0;
MJ28;10;Trajectory;10,7;4;0;506;1075;False;True;MainView;4;1;0;0;
MJ28;10;Trajectory;10,8;4;0;965;875;False;True;MainView;4;1;0;0;
MJ28;10;Trajectory;10,9;4;0;1150;784;False;True;MainView;4;1;0;0;
MJ28;10;Trajectory;11,0;4;0;1178;790;True;False;MainView;4;1;0;0;
