userID;scenarioID;controlMode;elapsedTime;timeStampEvent;additionalInfo;
MR15;7;Trajectory;0,0;RequestStarted;1;
MR15;7;Trajectory;0,0;RequestStarted;2;
MR15;7;Trajectory;0,0;RequestStarted;3;
MR15;7;Trajectory;3,3;RequestOpenedMain;1;
MR15;7;Trajectory;17,2;RequestRemovedMain;1;
MR15;7;Trajectory;17,2;RequestOpenedSecondary;1;
MR15;7;Trajectory;17,2;RequestOpenedMain;2;
MR15;7;Trajectory;26,8;RequestRemovedMain;2;
MR15;7;Trajectory;26,8;RequestOpenedMain;3;
MR15;7;Trajectory;40,5;RequestRemovedSecondary;1;
MR15;7;Trajectory;40,5;RequestRemovedMain;3;
MR15;7;Trajectory;40,5;RequestOpenedSecondary;3;
MR15;7;Trajectory;40,5;RequestOpenedMain;1;
MR15;7;Trajectory;40,5;RequestRemovedSecondary;3;
MR15;7;Trajectory;40,5;RequestOpenedSecondary;3;
MR15;7;Trajectory;46,5;RequestRemovedMain;1;
MR15;7;Trajectory;46,5;RequestOpenedMain;2;
MR15;7;Trajectory;52,0;RequestRemovedSecondary;3;
MR15;7;Trajectory;52,0;RequestRemovedMain;2;
MR15;7;Trajectory;52,0;RequestOpenedSecondary;2;
MR15;7;Trajectory;52,0;RequestOpenedMain;3;
MR15;7;Trajectory;52,0;RequestRemovedSecondary;2;
MR15;7;Trajectory;52,0;RequestOpenedSecondary;2;
MR15;7;Trajectory;54,1;RequestFinished;1;
MR15;7;Trajectory;61,9;RequestRemovedSecondary;2;
MR15;7;Trajectory;61,9;RequestFinished;2;
MR15;7;Trajectory;67,5;RequestRemovedMain;3;
MR15;7;Trajectory;67,5;RequestFinished;3;
