UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
DB06;-2;InteractivePathPlanning;1;0,0;0,01827567;202,0183;196,9147;196,9147;599,7175;(0.00, -0.44, 0.00);0;False;False;1;0,2369704;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,1;0,00971467;202,0085;196,9147;196,9147;599,7077;(0.00, -0.44, 0.01);0,5600995;False;False;1;0,2368183;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,2;0,04355433;201,965;196,9147;196,9147;599,6642;(-0.01, -0.44, 0.04);1,625433;False;False;1;0,2364655;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,3;0,07641044;201,8886;196,9147;196,9147;599,5879;(-0.04, -0.44, 0.11);2,59839;False;False;1;0,2356908;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,4;0,09105801;201,7976;196,9147;196,9147;599,4968;(-0.06, -0.44, 0.18);3,378881;False;False;1;0,2344391;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,5;0,1349977;201,6626;196,9147;196,9147;599,3619;(-0.10, -0.44, 0.30);4,336;False;False;1;0,2321588;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,6;0,1695677;201,4931;196,9147;196,9147;599,1926;(-0.15, -0.44, 0.44);5,391932;False;False;1;0,2285961;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,7;0,1747977;201,3184;196,9147;196,9147;599,0179;(-0.20, -0.44, 0.58);6,376591;False;False;1;0,2246803;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,8;0,2419001;201,0766;196,9147;196,9147;598,7763;(-0.27, -0.44, 0.78);7,615008;False;False;1;0,2176472;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;0,9;0,2854756;200,7914;196,9147;196,9147;598,4911;(-0.35, -0.44, 1.02);8,951041;False;False;1;0,2090276;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,0;0,2815836;200,51;196,9147;196,9147;598,21;(-0.43, -0.44, 1.25);10,168;False;False;1;0,1997737;0,00;0,00;0,00;0;0;0;0;0;1,0;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,1;0,3746242;200,1355;196,3433;196,3433;597,8358;(-0.54, -0.44, 1.56);11,68497;False;False;1;0,192219;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,2;0,4282841;199,7073;195,7718;195,7718;597,4077;(-0.66, -0.44, 1.91);13,31109;False;False;1;0,1864108;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,3;0,4113879;199,296;195,2004;195,2004;596,9965;(-0.77, -0.44, 2.26);14,7615;False;False;1;0,1814914;0,00;0,00;0,00;0;0;0;0;0;1,3;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,4;0,5318708;198,7643;194,629;194,629;596,4648;(-0.92, -0.44, 2.70);16,44645;False;False;1;0,1752215;0,00;0,00;0,00;0;0;0;0;0;1,4;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,5;0,588076;198,1763;194,0576;194,0576;595,8771;(-1.08, -0.44, 3.19);18,11099;False;False;1;0,1687093;0,00;0,00;0,00;0;0;0;0;0;1,5;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,6;0,5477974;197,6286;193,4862;193,4862;595,3296;(-1.23, -0.44, 3.64);19,53257;False;False;1;0,1626658;0,00;0,00;0,00;0;0;0;0;0;1,6;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,7;0,6899194;196,9388;192,9148;192,9148;594,64;(-1.42, -0.44, 4.21);21,17758;False;False;1;0,1547386;0,00;0,00;0,00;0;0;0;0;0;1,7;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,8;0,7451317;196,1938;191,7719;191,7719;593,8953;(-1.62, -0.44, 4.83);22,80532;False;False;1;0,1465598;0,00;0,00;0,00;0;0;0;0;0;1,8;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;1,9;0,6813388;195,5125;191,2005;191,2005;593,2143;(-1.81, -0.44, 5.40);24,19368;False;False;1;0,138958;0,00;0,00;0,00;0;0;0;0;0;1,9;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,0;0,8443281;194,6684;190,0575;190,0575;592,3704;(-2.04, -0.44, 6.10);25,8002;False;False;1;0,1291757;0,00;0,00;0,00;0;0;0;0;0;2,0;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,1;0,8982387;193,7703;189,4861;189,4861;591,4726;(-2.29, -0.44, 6.85);27,38946;False;False;1;0,11924;0,00;0,00;0,00;0;0;0;0;0;2,1;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,2;0,8116159;192,9588;188,3433;188,3433;590,6613;(-2.51, -0.44, 7.52);28,74837;False;False;1;0,1102498;0,00;0,00;0,00;0;0;0;0;0;2,2;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,3;0,9954724;191,9635;187,2004;187,2004;589,6663;(-2.78, -0.44, 8.35);30,32458;False;False;1;0,09895352;0,00;0,00;0,00;0;0;0;0;0;2,3;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,4;1,048236;190,9155;186,0575;186,0575;588,6186;(-3.07, -0.44, 9.22);31,87348;False;False;1;0,08709599;0,00;0,00;0,00;0;0;0;0;0;2,4;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,5;0,9390906;189,9765;185,4861;185,4861;587,6801;(-3.33, -0.44, 10.00);33,20756;False;False;1;0,07655174;0,00;0,00;0,00;0;0;0;0;0;2,5;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,6;1,143197;188,8335;183,7719;183,7719;586,5375;(-3.64, -0.44, 10.95);34,75071;False;False;1;0,06356118;0,00;0,00;0,00;0;0;0;0;0;2,6;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,7;1,194791;187,639;182,6291;182,6291;585,3433;(-3.97, -0.44, 11.94);36,26612;False;False;1;0,05139727;0,00;0,00;0,00;0;0;0;0;0;2,7;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,8;1,063985;186,5752;181,4862;181,4862;584,2797;(-4.26, -0.44, 12.82);37,56489;False;False;1;0,04121811;0,00;0,00;0,00;0;0;0;0;0;2,8;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;2,9;1,287348;185,2881;180,3434;180,3434;582,993;(-4.62, -0.44, 13.89);39,05794;False;False;1;0,03131012;0,00;0,00;0,00;0;0;0;0;0;2,9;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,0;1,336428;183,9519;178,6292;178,6292;581,6573;(-4.99, -0.44, 15.00);40,49514;False;False;1;0,03039278;0,00;0,00;0,00;0;0;0;0;0;3,0;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,1;1,383743;182,5685;178,0578;178,0578;580,2743;(-5.37, -0.44, 16.15);41,52312;False;False;1;0,03791038;0,00;0,00;0,00;0;0;0;0;0;3,1;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,2;1,22371;181,345;176,3436;176,3436;579,0511;(-5.70, -0.44, 17.17);43,12835;False;False;1;0,0504142;0,00;0,00;0,00;0;0;0;0;0;3,2;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,3;1,470587;179,8747;174,6294;174,6294;577,5812;(-6.11, -0.44, 18.39);44,505;False;False;1;0,06939368;0,00;0,00;0,00;0;0;0;0;0;3,3;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,4;1,515233;178,3598;173,4866;173,4866;576,0668;(-6.52, -0.44, 19.65);45,46731;False;False;1;0,08950716;0,00;0,00;0,00;0;0;0;0;0;3,4;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,5;1,334222;177,0258;171,7723;171,7723;574,7332;(-6.89, -0.44, 20.76);46,98011;False;False;1;0,1091859;0,00;0,00;0,00;0;0;0;0;0;3,5;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,6;1,597379;175,4288;170,0581;170,0581;573,1367;(-7.33, -0.44, 22.09);48,27697;False;False;1;0,1339592;0,00;0,00;0,00;0;0;0;0;0;3,6;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,7;1,638981;173,7902;168,9153;168,9153;571,4985;(-7.78, -0.44, 23.45);49,17984;False;False;1;0,1601789;0,00;0,00;0,00;0;0;0;0;0;3,7;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,8;1,438249;172,3522;166,6297;166,6297;570,061;(-8.17, -0.44, 24.64);50,59911;False;False;1;0,1844783;0,00;0,00;0,00;0;0;0;0;0;3,8;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;3,9;1,715699;170,6367;164,9154;164,9154;568,3459;(-8.64, -0.44, 26.07);51,80334;False;False;1;0,205517;0,00;0,00;0,00;0;0;0;0;0;3,9;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,0;1,754864;168,882;163,7725;163,7725;566,5912;(-9.10, -0.44, 27.53);52,64973;False;False;1;0,2135217;0,00;0,00;0,00;0;0;0;0;0;4,0;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,1;1,536117;167,3459;161,4868;161,4868;565,0555;(-9.50, -0.44, 28.82);54,01696;False;False;1;0,2174816;0,00;0,00;0,00;0;0;0;0;0;4,1;0,0;0,0;False;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,2;2,09324;165,2527;160,344;160,344;562,9624;(-10.05, -0.44, 30.56);54,5403;False;False;1;0,2230099;0,00;0,00;0,00;0;0;0;0;0;4,2;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,3;1,603109;163,6496;158,0583;158,0583;561,3595;(-10.47, -0.44, 31.90);56,03823;False;False;1;0,2272825;0,00;0,00;0,00;0;0;0;0;0;4,3;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,4;1,907082;161,7426;156,3441;156,3441;559,4527;(-10.97, -0.44, 33.50);57,03563;False;False;1;0,2330151;0,00;0,00;0,00;0;0;0;0;0;4,4;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,5;1,66508;160,0775;154,0585;154,0585;557,788;(-11.41, -0.44, 34.88);58,35183;False;False;1;0,2380886;0,00;0,00;0,00;0;0;0;0;0;4,5;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,6;1,692695;158,3849;152,3443;152,3443;556,0954;(-11.85, -0.44, 36.30);59,48926;False;False;1;0,2434349;0,00;0,00;0,00;0;0;0;0;0;4,6;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,7;2,009245;156,3757;150,63;150,63;554,0866;(-12.38, -0.44, 37.97);60,61441;False;False;1;0,2497841;0,00;0,00;0,00;0;0;0;0;0;4,7;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,8;2,046521;154,3292;148,3444;148,3444;552,0404;(-12.92, -0.44, 39.68);61,54459;False;False;1;0,2568626;0,00;0,00;0,00;0;0;0;0;0;4,8;0,0;0,0;True;False;0;Left;
DB06;-2;InteractivePathPlanning;1;4,9;1,783067;152,5462;146,63;146,63;550,2575;(-13.39, -0.44, 41.17);62,63826;False;False;1;0,2633128;0,00;0,00;0,00;0;0;0;0;0;4,9;0,0;0,0;True;False;0;Left;
